exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links,diagram_id
2024,令和6年度（学科・三答択）,11,single,金融資産運用,FP3級;学科;三答択,"株式投資信託の運用において、企業の売上高や利益の伸び率が市場平均よりも高いな
ど、企業の成長性に着目して選定した銘柄に投資する手法を、 （   ）という。",,,,,,グロース運用,バリュー運用,トップダウン・アプローチ,,1,FALSE,FALSE,,正解は1です。企業の売上高や利益の伸び率など成長性に着目して銘柄を選ぶ運用手法はグロース運用です。割安性に着目するのはバリュー運用、経済や業種など大きな視点から配分を決めるのはトップダウン・アプローチです。,,,,,,
2024,令和6年度（学科・三答択）,12,single,金融資産運用,FP3級;学科;三答択,株式の投資指標のうち、 （   ）は、株価を１株当たり純資産で除して算出される。,,,,,,PBR,PER,ROE,,1,FALSE,FALSE,,正解は1です。PBRは株価純資産倍率で、株価÷1株当たり純資産で求めます。PERは株価÷1株当たり純利益、ROEは自己資本利益率です。,,,,,,
2024,令和6年度（学科・三答択）,13,single,金融資産運用,FP3級;学科;三答択,"Ａ資産の期待収益率が2.0％、 Ｂ資産の期待収益率が5.0％の場合に、Ａ資産を40％、Ｂ
資産を60％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。",,,,,,3.5％,3.8％,7.0％,,2,FALSE,FALSE,,正解は2です。ポートフォリオの期待収益率は、各資産の期待収益率を組入比率で加重平均して求めます。A資産2.0％×40％＋B資産5.0％×60％＝0.8％＋3.0％＝3.8％です。,,,,,,
2024,令和6年度（学科・三答択）,14,single,金融資産運用,FP3級;学科;三答択,"2024年中にNISAの「成長投資枠」を利用して上場株式を購入することができる限度額
（年間投資枠）は、年間（   ）である。",,,,,,102万円,120万円,240万円,,3,FALSE,FALSE,,正解は3です。2024年からの新しいNISAでは、成長投資枠の年間投資枠は240万円です。つみたて投資枠は年間120万円で、両方を合わせると年間360万円まで投資できます。,,,,,,
2024,令和6年度（学科・三答択）,15,single,金融資産運用,FP3級;学科;三答択,"預金保険制度の対象金融機関に預け入れた（   ）は、預入金額の多寡にかかわら
ず、その全額が預金保険制度による保護の対象となる。",,,,,,定期積金,決済用預金,定期預金,,2,FALSE,FALSE,,"正解は2です。決済用預金は、無利息、要求払い、決済サービス提供という3要件を満たす預金で、預金保険制度により全額保護されます。定期預金や定期積金などの一般預金等は、元本1,000万円までとその利息等が保護対象です。",,,,,,
2024,令和6年度（学科・三答択）,16,single,タックスプランニング,FP3級;学科;三答択,"所得税において、 国債や地方債などの特定公社債の利子は、 原則として、 （ ① ）課
税の対象となるが、確定申告不要制度を選択すること（ ② ）。",,,,,,① 総合     ② ができる,① 源泉分離   ② はできない,① 申告分離   ② ができる,,3,FALSE,FALSE,,正解は3です。国債や地方債などの特定公社債の利子は、原則として申告分離課税の対象です。ただし、確定申告不要制度を選択することもできます。,,,,,,
2024,令和6年度（学科・三答択）,17,single,タックスプランニング,FP3級;学科;三答択,所得税において、 （   ）は、所得控除に該当する。,,,,,,配当控除,雑損控除,住宅借入金等特別控除,,2,FALSE,FALSE,,正解は2です。雑損控除は所得控除です。配当控除や住宅借入金等特別控除は、所得金額から差し引く所得控除ではなく、算出税額から差し引く税額控除です。,,,,,,
2024,令和6年度（学科・三答択）,18,single,タックスプランニング,FP3級;学科;三答択,"納税者が2012年１月１日以後に締結した生命保険契約により、一般の生命保険料控除
の対象となる保険料、個人年金保険料控除の対象となる保険料および介護医療保険料控
除の対象となる保険料をそれぞれ年間10万円支払った場合、所得税において、支払った
年分の生命保険料控除の控除額は、 （   ）となる。",,,,,,12万円,15万円,30万円,,1,FALSE,FALSE,,正解は1です。2012年1月1日以後の新契約では、一般生命保険料控除、個人年金保険料控除、介護医療保険料控除は、それぞれ所得税で最高4万円です。3区分すべてで最高額となる場合、合計の控除額は12万円です。,,,,,,
2024,令和6年度（学科・三答択）,19,single,タックスプランニング,FP3級;学科;三答択,"住宅ローンを利用してマンションを取得し、新たに所得税における住宅借入金等特別
控除の適用を受ける場合、 住宅借入金の償還期間は （   ） 以上でなければならない。",,,,,,10年,13年,15年,,1,FALSE,FALSE,,正解は1です。住宅借入金等特別控除の適用を受けるためには、住宅ローンの償還期間が原則として10年以上である必要があります。短期のローンは対象になりません。,,,,,,
2024,令和6年度（学科・三答択）,20,single,タックスプランニング,FP3級;学科;三答択,"年末調整の対象となる給与所得者のうち、 （   ） は、 所得税の確定申告をする必要
がある。",,,,,,"給与の年間収入金額が1,000万円を超える者",初めて住宅借入金等特別控除の適用を受けようとする者,生命保険料控除の適用を受けようとする者,,2,FALSE,FALSE,,正解は2です。住宅借入金等特別控除を初めて受ける年は、給与所得者で年末調整の対象であっても確定申告が必要です。2年目以降は、勤務先の年末調整で控除を受けられる場合があります。,,,,,,
2024,令和6年度（学科・三答択）,21,single,不動産,FP3級;学科;三答択,"宅地建物取引業法上の媒介契約のうち、 （ ① ） では、 依頼者は他の宅地建物取引業
者に重ねて媒介の依頼をすることができるが、 （ ② ） では、 依頼者は他の宅地建物取
引業者に重ねて媒介の依頼をすることが禁じられている。",,,,,,① 一般媒介契約   ② 専任媒介契約,① 専任媒介契約   ② 一般媒介契約,① 専任媒介契約   ② 専属専任媒介契約,,1,FALSE,FALSE,,正解は1です。一般媒介契約では、依頼者は複数の宅建業者に重ねて媒介を依頼できます。専任媒介契約では、他の宅建業者に重ねて媒介を依頼することはできません。,,,,,,
2024,令和6年度（学科・三答択）,22,single,不動産,FP3級;学科;三答択,"建築基準法によれば、 都市計画区域および準都市計画区域内にある建築物の敷地は、原
則として、幅員（ ① ）以上の道路に（ ② ）以上接していなければならない。",,,,,,① ２ｍ   ② ４ｍ,① ４ｍ   ② ２ｍ,① ６ｍ   ② ３ｍ,,2,FALSE,FALSE,,正解は2です。建築基準法の接道義務では、都市計画区域および準都市計画区域内の建築物の敷地は、原則として幅員4m以上の道路に2m以上接していなければなりません。,,,,,,
2024,令和6年度（学科・三答択）,23,single,不動産,FP3級;学科;三答択,"建物の区分所有等に関する法律（区分所有法）によれば、区分所有者および議決権の
各（   ）以上の多数による集会の決議により、規約の変更をすることができる。",,,,,,３分の２,４分の３,５分の４,,2,FALSE,FALSE,,正解は2です。区分所有法では、規約の設定・変更・廃止は、原則として区分所有者および議決権の各4分の3以上の多数による集会の決議が必要です。,,,,,,
2024,令和6年度（学科・三答択）,24,single,不動産,FP3級;学科;三答択,"個人が土地を譲渡した場合の所得税額の計算において、当該譲渡に係る所得が長期譲
渡所得に区分されるためには、 土地を譲渡した年の１月１日において所有期間が （   ）
を超えていなければならない。",,,,,,５年,10年,15年,,1,FALSE,FALSE,,正解は1です。土地や建物の譲渡所得が長期譲渡所得となるには、譲渡した年の1月1日において所有期間が5年を超えている必要があります。譲渡日現在で5年超ではない点に注意します。,,,,,,
2024,令和6年度（学科・三答択）,25,single,不動産,FP3級;学科;三答択,"自己が居住していた家屋を譲渡する場合、その家屋に自己が居住しなくなった日から
（ ① ）を経過する日の属する年の（ ② ）までの間に譲渡しなければ、 「居住用財
産を譲渡した場合の3,000万円の特別控除」の適用を受けることができない。",,,,,,① １年   ② 12月31日,① ３年   ② ３月15日,① ３年   ② 12月31日,,3,FALSE,FALSE,,"正解は3です。居住用財産の3,000万円特別控除は、住まなくなった日から3年を経過する日の属する年の12月31日までに譲渡することなどが要件です。",,,,,,
2024,令和6年度（学科・三答択）,26,single,相続・事業承継,FP3級;学科;三答択,"父母のそれぞれから同一年中に暦年課税による贈与を受けた場合、 贈与税額の計算上、
贈与税の課税価格から基礎控除額として最高で（   ）を控除することができる。",,,,,,80万円,110万円,220万円,,2,FALSE,FALSE,,正解は2です。暦年課税の基礎控除額は、受贈者ごとに年間110万円です。父母それぞれから贈与を受けても、贈与者ごとに110万円ではなく、受贈者単位で年間110万円です。,,,,,,
2024,令和6年度（学科・三答択）,27,single,相続・事業承継,FP3級;学科;三答択,"下記の 〈親族関係図〉 において、 Ａさんの相続における子Ｃさんの法定相続分は、 （   ）
である。なお、ＡさんとＢさんは、Ａさんの相続開始前に離婚している。

〈親族関係図〉
父Ｅさん      母Ｆさん

元夫Ｂさん

子Ｃさん      子Ｄさん",,,,,,２分の１,３分の１,４分の１,,1,FALSE,FALSE,,正解は1です。AさんとBさんは相続開始前に離婚しているため、元夫Bさんは相続人ではありません。子Cさんと子Dさんが相続人となり、法定相続分は2人で等分するため、子Cさんは1/2です。,,,,,,
2024,令和6年度（学科・三答択）,28,single,相続・事業承継,FP3級;学科;三答択,"死亡したＡさんが所有していた上場株式Ｘを相続により取得した場合の１株当たりの
相続税評価額は、下記の〈資料〉によれば、 （   ）である。

〈資料〉上場株式Ｘの価格
Ａさんが死亡した月の前々月の毎日の最終価格の月平均額 ： 540円
Ａさんが死亡した月の前月の毎日の最終価格の月平均額  ： 600円
Ａさんが死亡した月の毎日の最終価格の月平均額     ： 620円
Ａさんが死亡した日の最終価格             ： 600円",,,,,,540円,600円,620円,,1,FALSE,FALSE,,正解は1です。上場株式の相続税評価額は、相続開始日の最終価格、相続開始月・前月・前々月の各月平均額のうち最も低い価額で評価します。資料では540円が最も低いため、評価額は540円です。,,,,,,
2024,令和6年度（学科・三答択）,29,single,相続・事業承継,FP3級;学科;三答択,"貸家建付地の相続税評価額は、その自用地としての価額が１億5,000万円、借地権割合
が60％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。",,,,,,"6,000万円","9,000万円","１億2,300万円",,3,FALSE,FALSE,,"正解は3です。貸家建付地の評価額は、自用地価額×(1－借地権割合×借家権割合×賃貸割合)で求めます。1億5,000万円×(1－60％×30％×100％)＝1億5,000万円×82％＝1億2,300万円です。",,,,,,
2024,令和6年度（学科・三答択）,30,single,相続・事業承継,FP3級;学科;三答択,"相続人が相続により取得した宅地が「小規模宅地等についての相続税の課税価格の計
算の特例」における特定居住用宅地等に該当する場合、その宅地のうち（ ① ）まで
を限度面積として、評価額の（ ② ）相当額を減額した金額を、相続税の課税価格に
算入すべき価額とすることができる。",,,,,,① 200㎡   ② 50％,① 330㎡   ② 80％,① 400㎡   ② 80％,,2,FALSE,FALSE,,正解は2です。小規模宅地等の特例における特定居住用宅地等は、330m2までの部分について評価額の80％を減額できます。特定事業用宅地等の400m2・80％減額、貸付事業用宅地等の200m2・50％減額と区別します。,,,,,,
2024,令和6年度（実技）,31,single,ライフプランニングと資金計画,FP3級;実技;三答択,"ファイナンシャル・プランニング業務を行うに当たっては、関連業法等を順守することが重要である。
ファイナンシャル・プランナー（以下「ＦＰ」という）の行為に関する次の記述のうち、最も不適切な
ものはどれか。なお、記載のない資格の登録等については考慮しないこととする。",,,,,,"投資助言・代理業の登録を受けていないＦＰが、顧客と投資顧問契約を締結し、当該契約に基づい
て特定の上場株式の投資判断について有償で助言をした。","税理士の登録を受けていないＦＰが、有料のセミナーにおいて、仮定の事例に基づき、一般的な税
法の解説を行った。","生命保険募集人・保険仲立人の登録を受けていないＦＰが、変額年金保険の一般的な商品内容につ
いて説明を行った。",,1,FALSE,FALSE,,正解は1です。FPが顧客と投資顧問契約を締結し、特定の上場株式について有償で投資判断の助言をするには、投資助言・代理業の登録が必要です。2は仮定の事例に基づく一般的な税法解説であり、個別具体的な税務代理や税額計算とは異なります。3も変額年金保険の一般的な商品説明にとどまるため、保険募集とは区別されます。,,,,,,
2024,令和6年度（実技）,32,single,ライフプランニングと資金計画,FP3級;実技;三答択,"下記は、東条家のキャッシュフロー表（一部抜粋）である。このキャッシュフロー表の空欄（ア）～
（ウ）にあてはまる数値として、誤っているものはどれか。なお、計算に当たっては、キャッシュフロ
ー表中に記載の整数を使用すること。また、計算過程においては端数処理をせず計算し、計算結果につ
いては万円未満を四捨五入することとする。","＜東条家のキャッシュフロー表＞ （単位：万円)
経過年数 基準年 １年後 ２年後 ３年後 ４年後
家族・
年齢
東条 義雄 本人 ３７歳 ３８歳 ３９歳 ４０歳 ４１歳
   八重 妻 ３５歳 ３６歳 ３７歳 ３８歳 ３９歳
   泰彦 長男  ７歳  ８歳  ９歳 １０歳 １１歳
ライフイベント  泰彦
小学校入学  海外旅行   変動率
収入
給与収入（本人） １％ ４３０
給与収入（妻） － ５０ ７０ ７０ ７０
収入合計 － ４８０ ５０４ ５０９
支出
基本生活費 ２％ ２４０    （ ア ）
住宅関連費 － １５６ １５６ １５６ １５６ １５６
教育費 － ５０ ４０ ４０ ５０ ６０
保険料 － １８ １８ １８ １８ １８
一時的支出 －   １２０
その他支出 － １２ １２ １２ １２ １２
支出合計 － ４７６ ４７１ ５９６ ４９１
年間収支   （ イ ）  ２２ １１
金融資産残高 １％ ６８０  ６４０ （ ウ ）
※年齢および金融資産残高は各年１２月３１日現在のものとする。
※給与収入は可処分所得で記載している。
※記載されている数値は正しいものとする。また、問題作成の都合上、一部を空欄にしてある。",,,,,（ア）２６０,（イ） ３３,（ウ）６６２,,3,FALSE,FALSE,source_id=fp3_202405_q002; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,正解は3です。（ア）は4年後の基本生活費で、240万円×1.02^4＝約260万円なので正しい数値です。（イ）は1年後の年間収支で、収入合計504万円－支出合計471万円＝33万円なので正しい数値です。（ウ）は4年後の金融資産残高で、3年後残高640万円を1％で運用し、4年後の年間収支11万円を加えると約657万円です。662万円は誤りです。,,,,,,fp3-jitsugi-202405-q002
2024,令和6年度（実技）,33,single,ライフプランニングと資金計画,FP3級;実技;三答択,山本家の現時点の資産および負債が下記,"＜資料＞のとおりである場合、＜資料＞に基づく山本家のバラ
ンスシートの空欄（ア）にあてはまる金額として、正しいものはどれか。なお、記載のない事項について
は一切考慮しないこととする。

＜山本家のバランスシート＞ （単位：万円)
［資産］ ××× ［負債］ ×××
  負債合計 ×××
  ［純資産］ （ ア ）
資産合計 ××× 負債・純資産合計 ×××

＜資料＞

［保有財産（時価） ］ （単位：万円）
金融資産
普通預金 ４００
定期預金 ８００
投資信託 １００
上場株式 ２００
生命保険（解約返戻金相当額） ８０
不動産（自宅マンション） ３,０００

［負債残高］
住宅ローン（自宅マンション） ：２,２００万円",,,,,"１,５８０（万円）","２,３００（万円）","２,３８０（万円）",,3,FALSE,FALSE,source_id=fp3_202405_q003; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,"正解は3です。資産合計は、普通預金400万円＋定期預金800万円＋投資信託100万円＋上場株式200万円＋生命保険80万円＋自宅マンション3,000万円＝4,580万円です。負債は住宅ローン2,200万円なので、純資産は4,580万円－2,200万円＝2,380万円です。",,,,,,fp3-jitsugi-202405-q003
2024,令和6年度（実技）,34,single,金融資産運用,FP3級;実技;三答択,"木村さんは、今後１５年間で毎年３０万円ずつ積立貯蓄をして、老後資金の準備をしたいと考えてい
る。積立期間中に年利２.０％で複利運用できるものとした場合、１５年後の積立金額として、正しい
ものはどれか。なお、下記","＜資料＞の３つの係数の中から最も適切な係数を選択して計算すること。ま
た、記載のない事項については一切考慮しないこととする。

＜資料：係数早見表（年利２.０％)＞
 終価係数 年金終価係数 年金現価係数
１５年 １.３４６ １７.２９３ １２.８４９
※記載されている数値は正しいものとする。",,,,,"３,８５４,７００円","５,１８７,９００円","６,０５７,０００円",,2,FALSE,FALSE,source_id=fp3_202405_q004; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,"正解は2です。毎年一定額を積み立てた場合の将来額を求める問題なので、年金終価係数を使います。30万円×17.293＝518.79万円、つまり5,187,900円です。終価係数は一時金の将来額、年金現価係数は毎年受け取る年金額の現在価値を求める係数です。",,,,,,fp3-jitsugi-202405-q004
2024,令和6年度（実技）,35,single,ライフプランニングと資金計画,FP3級;実技;三答択,"遺族基礎年金に関する次の記述の空欄（ア） 、 （イ）にあてはまる語句の組み合わせとして、最も適切
なものはどれか。

遺族基礎年金を受給することができる遺族は、国民年金の被保険者等の死亡当時、その者によって
生計を維持されていた子または子と生計を同じくしていた配偶者である。なお、遺族基礎年金を受
給することができる子の年齢要件は以下のとおりである。
① （ ア ）までの間にあること
② （ イ ）で障害等級１級または２級に該当する障害の状態にあること
※上記の年齢要件を満たしていても婚姻している者は子から除かれる。",,,,,,（ア）１８歳未満      （イ）２０歳未満,（ア）１８歳到達年度の末日 （イ）２０歳未満,（ア）１８歳到達年度の末日 （イ）２０歳到達年度の末日,,2,FALSE,FALSE,,正解は2です。遺族基礎年金を受けられる子は、原則として18歳到達年度の末日までの間にある子です。また、障害等級1級または2級に該当する障害の状態にある場合は20歳未満の子が対象になります。いずれの場合も、婚姻している子は対象から除かれます。,,,,,,
2024,令和6年度（実技）,36,single,金融資産運用,FP3級;実技;三答択,下記,"＜資料＞に基づくＷＡ株式会社とＷＢ株式会社の投資指標に関する次の記述のうち、最も不適切
なものはどれか。なお、記載のない事項については一切考慮しないこととする。

＜資料＞
 ＷＡ株式会社 ＷＢ株式会社
株価 １,２００円 ３,０００円
１株当たり当期純利益 ２００円 ３００円
１株当たり純資産（自己資本） １,５００円 ２,０００円
１株当たり年間配当金 ２５円 ５０円",,,,,株価収益率（ＰＥＲ）で比較した場合、株価はＷＡ株式会社よりＷＢ株式会社の方が割安である。,"株価純資産倍率（ＰＢＲ）で比較した場合、株価はＷＡ株式会社よりＷＢ株式会社の方が割高であ
る。",配当利回りで比較した場合、収益性はＷＡ株式会社よりＷＢ株式会社の方が低い。,,1,FALSE,FALSE,source_id=fp3_202405_q006; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,"正解は1です。WA社のPERは1,200円÷200円＝6倍、WB社のPERは3,000円÷300円＝10倍です。PERは低いほど株価が利益に対して割安と判断されるため、WB社の方が割安という記述は不適切です。PBRはWA社0.8倍、WB社1.5倍なのでWB社の方が割高です。配当利回りはWA社25円÷1,200円＝約2.08％、WB社50円÷3,000円＝約1.67％で、WB社の方が低いです。",,,,,,fp3-jitsugi-202405-q006
2024,令和6年度（実技）,37,single,金融資産運用,FP3級;実技;三答択,"投資信託の運用スタイルに関する下表の空欄（ア） 、 （イ）にあてはまる語句の組み合わせとして、最
も適切なものはどれか。

運用スタイル 主な内容
（ ア ） ベンチマークの動きに連動した運用成果を目指す。代表的なものにインデック
スファンドがある。
（ イ ） ベンチマークを上回る運用成果を目標としており、銘柄の調査を入念に行うな
ど銘柄選択に時間やコストがかかる。",,,,,,（ア）パッシブ運用 （イ）アクティブ運用,（ア）バリュー運用 （イ）グロース運用,（ア）バランス運用 （イ）グロース運用,,1,FALSE,FALSE,source_id=fp3_202405_q007; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,正解は1です。ベンチマークに連動する運用成果を目指すのがパッシブ運用で、代表例がインデックスファンドです。ベンチマークを上回る運用成果を目指し、銘柄選択などに手間とコストをかけるのがアクティブ運用です。,,,,,,fp3-jitsugi-202405-q007
2024,令和6年度（実技）,38,single,金融資産運用,FP3級;実技;三答択,下記,"＜資料＞の外貨定期預金について、満期時の外貨ベースの元利合計額を円転した金額として、正
しいものはどれか。なお、税金については考慮しないこととする。

＜資料＞

預入額：１０,０００米ドル
預入期間：１２ヵ月
預金金利：１.５０％（年率）

［為替レート（１米ドル） ］
 ＴＴＳ ＴＴＭ（仲値） ＴＴＢ
満期時 １２６.４０円 １２５.４０円 １２４.４０円",,,,,"１,２６２,６６０円","１,２７２,８１０円","１,２８２,９６０円",,1,FALSE,FALSE,source_id=fp3_202405_q008; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,"正解は1です。満期時の外貨ベースの元利合計は、10,000米ドル×1.015＝10,150米ドルです。外貨を円に換えるときは、金融機関が外貨を買い取るレートであるTTBを使います。10,150米ドル×124.40円＝1,262,660円です。",,,,,,fp3-jitsugi-202405-q008
2024,令和6年度（実技）,39,single,不動産,FP3級;実技;三答択,"建築基準法に従い、下記＜資料＞の土地に建築物を建築する場合の延べ面積（床面積の合計）の最高
限度として、正しいものはどれか。なお、記載のない事項については一切考慮しないこととする。","建築基準法に従い、下記＜資料＞の土地に建築物を建築する場合の延べ面積（床面積の合計）の最高
限度として、正しいものはどれか。なお、記載のない事項については一切考慮しないこととする。

＜資料＞

・ 近隣商業地域
・ 指定建蔽率  ６０％
・ 指定容積率 ４００％
・ 前面道路の幅員に対する
法定乗数 ６／１０
幅員６ｍ市道
１５ｍ
３０ｍ
４５０ｍ2",,,,,２７０ｍ2,"１,６２０ｍ2","１,８００ｍ2",,2,FALSE,FALSE,source_id=fp3_202405_q009; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,"正解は2です。延べ面積の最高限度は容積率で求めます。指定容積率は400％ですが、前面道路幅員による容積率制限は6m×6/10＝360％です。小さい方の360％を使うため、450m2×360％＝1,620m2が最高限度です。建蔽率は建築面積の制限であり、延べ面積の計算には使いません。",,,,,,fp3-jitsugi-202405-q009
2024,令和6年度（実技）,40,single,不動産,FP3級;実技;三答択,"公的な土地評価に関する下表の空欄（ア）～（ウ）にあてはまる語句の組み合わせとして、最も適切
なものはどれか。

価格の種類 公示価格 相続税路線価 固定資産税評価額
所管 国土交通省 国税庁 （ ア ）
評価割合 － 公示価格の（ イ ）程度 公示価格の（ ウ ）程度
実施目的 一般の土地取引の指標等 相続税等の財産評価の基礎 固定資産税等の課税標準の
基礎",,,,,,（ア）国税庁            （イ）９０％ （ウ）８０％,（ア）市町村（東京２３区は東京都） （イ）７０％ （ウ）８０％,（ア）市町村（東京２３区は東京都） （イ）８０％ （ウ）７０％,,3,FALSE,FALSE,source_id=fp3_202405_q010; diagram_type=html_table; diagram_kind=source_material; diagram_status=extracted_as_text,正解は3です。固定資産税評価額は市町村、東京23区では東京都が所管します。相続税路線価は公示価格の80％程度、固定資産税評価額は公示価格の70％程度を目安に評価されます。公示価格は一般の土地取引の指標となり、相続税路線価や固定資産税評価額の基礎にもなります。,,,,,,fp3-jitsugi-202405-q010
