term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer,diagram_id,slug,author_name,reviewer_name,fact_checked_at,primary_sources,content_status
用語解説,金融資産運用,用語集,重要語句の意味や試験での使い方を説明する記事。,過去問や一問一答で出た語句の意味や関連知識を確認するための解説。似た用語との違いも整理する。試験対策では公式情報と照合します。,比較表;過去問,,B,用語解説が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,用語解説とは？重要語句を確認する記事,用語解説は試験で使う語句を整理する記事です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"用語解説では定義だけでなく試験での問われ方や関連用語を確認します。過去問で分からなかった語句から読むと効率的です。過去問や一問一答で出た語句の意味や関連知識を確認するための解説。似た用語との違いも整理する。

公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",定義と試験での使い方を確認する;関連用語ページで混同を整理する;過去問演習に戻って理解を確認する,用語だけ暗記しても選択肢で使えない場合があります。公式情報と照合して確認してください。,関連語をセットで見ると覚えやすくなります。関連語とセットで覚えます。,用語解説は辞書のように読むだけでよい。,×。過去問と合わせて確認します。,用語解説とは何ですか？,用語解説は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,用語解説でよくある誤解は？,「用語解説」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,用語解説は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,用語解説を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
試験要項,ライフプランニングと資金計画,公式情報,試験の実施条件や手続きがまとめられた案内。,試験日程や申込方法や受験資格などを確認するための基本資料。年度ごとに更新されることが多いため最新情報を確認する。,公式情報;受験資格;出題範囲,,A,試験要項が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,試験要項とは？受験前に確認する公式資料,試験要項は受験前に確認する公式資料です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"試験要項には申込期間や試験日程や受験資格や試験範囲などが掲載されます。非公式情報を見る場合でも最終判断は試験要項を基準にします。試験日程や申込方法や受験資格などを確認するための基本資料。

年度ごとに更新されることが多いため最新情報を確認する。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",最新版を確認する;申込期限を公式要項で確認する;受験資格を確認する,古い年度の試験要項を見てしまうと申込期限や手数料を誤ることがあります。公式情報と照合して確認してください。,学習開始時と申込前に確認すると覚えやすくなります。,試験要項は一度確認すれば毎年同じである。,×。年度ごとに変更される場合があります。,試験要項とは何ですか？,試験要項は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,試験要項でよくある誤解は？,「試験要項」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,試験要項は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,試験要項を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
過去問,リスク管理,演習,過去に出題された問題。。,出題形式や頻出テーマを確認するために使う演習素材。点数だけでなく間違えた理由の分析が重要になる。試験対策では公式情報と照合します。,復習;用語解説;試験要項,,A,過去問が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。演習解説で選択肢の違いを確認してください。,過去問とは？出題傾向と弱点を確認する演習素材,過去問は出題傾向を知るための基本素材です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"過去問を解くと形式や問われ方に慣れます。正解数だけでなく間違えた選択肢や迷った理由を記録すると学習効果が高まります。出題形式や頻出テーマを確認するために使う演習素材。

点数だけでなく間違えた理由の分析が重要になる。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",年度別に過去問を解いて傾向を把握する;間違いを分類する;解説を読んで選択肢の違いを確認する,答えだけ覚えると少し表現が変わった問題に対応しにくくなります。公式情報と照合して確認してください。,間違えた問題に印を付けると復習しやすくなります。関連語とセットで覚えます。,過去問は答えを覚えれば十分である。,×。理由まで確認することが大切です。,過去問とは何ですか？,過去問は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,過去問でよくある誤解は？,「過去問」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,過去問は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,過去問を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
ファイナンシャル・プランニング,ライフプランニングと資金計画,FP3級;用語,個人や家族の生涯にわたる資金計画を作成・実行するプロセス。,個人や家族の生涯にわたる資金計画を作成・実行するプロセス。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
ライフイベント,ライフプランニングと資金計画,FP3級;用語,結婚・出産・住宅購入・退職など、人生の節目となる出来事。,結婚・出産・住宅購入・退職など、人生の節目となる出来事。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
ライフプラン,ライフプランニングと資金計画,FP3級;用語,ライフイベントを考慮して作成する人生全体の生活設計。,ライフイベントを考慮して作成する人生全体の生活設計。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
キャッシュフロー表,ライフプランニングと資金計画,FP3級;用語,毎年の収入・支出・貯蓄残高を時系列で示した表。,毎年の収入・支出・貯蓄残高を時系列で示した表。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
個人バランスシート,ライフプランニングと資金計画,FP3級;用語,ある時点の資産と負債の状況を示した財務状況一覧表。,ある時点の資産と負債の状況を示した財務状況一覧表。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
終価係数,ライフプランニングと資金計画,FP3級;用語,元本が将来いくらになるかを求める係数（1＋利率）ⁿ。,元本が将来いくらになるかを求める係数（1＋利率）ⁿ。,,,B,,,,,,,「いまのお金」を複利で運用したら「将来いくら」になるかを求める係数。終価＝終わり（将来）の価値、と覚えます。例：100万円を年3％で10年なら終価係数1.344倍で約134万円。現価係数とは逆数の関係です。,,,,,,,,,,,,,,,,,draft
現価係数,ライフプランニングと資金計画,FP3級;用語,将来の一定額を現在価値に換算する係数（終価係数の逆数）。,将来の一定額を現在価値に換算する係数（終価係数の逆数）。,,,B,,,,,,,「将来の目標額」に必要な「いまの元本」を一括で求める係数。現価＝現在必要な元本。終価係数の逆数で、将来から今へ割り戻すイメージです。例：10年後に100万円必要なら現価係数0.744で約74万円を今用意します。,,,,,,,,,,,,,,,,,draft
年金終価係数,ライフプランニングと資金計画,FP3級;用語,毎期積み立てた金額が将来いくらになるかを求める係数。,毎期積み立てた金額が将来いくらになるかを求める係数。,,,B,,,,,,,毎年コツコツ積み立てたら「将来の合計額」はいくらかを求める係数。年金（毎年）×終価（将来）で覚えます。減債基金係数とは逆数の関係です。例：毎年10万円を10年積み立てた到達額を出すときに使います。,,,,,,,,,,,,,,,,,draft
減債基金係数,ライフプランニングと資金計画,FP3級;用語,将来の目標額に達するために毎期必要な積立額を求める係数。,将来の目標額に達するために毎期必要な積立額を求める係数。,,,B,,,,,,,「将来の目標額」を貯めるために「毎年いくら積み立てる」かを求める係数。ゴール（目標額）から毎年の積立額を逆算、と覚えます。年金終価係数の逆数です。例：10年後に100万円貯めるなら毎年いくら積むかを算出します。6つの係数は『終価⇔現価』『年金終価⇔減債基金』『年金現価⇔資本回収』の3ペアが逆数、と整理すると混同しません。,,,,,,,,,,,,,,,,,draft
年金現価係数,ライフプランニングと資金計画,FP3級;用語,将来の年金受取額を現在価値に換算する係数。,将来の年金受取額を現在価値に換算する係数。,,,B,,,,,,,毎年一定額を受け取り続けるために「いま必要な原資」を求める係数。受取（毎年）を今の金額に割り戻します。資本回収係数の逆数です。例：毎年12万円を10年受け取るのに必要な原資を算出します。,,,,,,,,,,,,,,,,,draft
資本回収係数,ライフプランニングと資金計画,FP3級;用語,元本を一定期間で回収するために必要な毎期返済額を求める係数。,元本を一定期間で回収するために必要な毎期返済額を求める係数。,,,B,,,,,,,「いまある元本」を取り崩して「毎年いくら受け取れる」かを求める係数。資本を回収（取り崩す）＝毎年の受取額やローンの返済額に使います。年金現価係数の逆数です。求めたいものが『毎年の額』なら減債基金・資本回収を思い出すと選びやすいです。,,,,,,,,,,,,,,,,,draft
公的医療保険,ライフプランニングと資金計画,FP3級;用語,病気・ケガの際の医療費を保障する国が運営する強制加入の保険制度。,病気・ケガの際の医療費を保障する国が運営する強制加入の保険制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
健康保険,ライフプランニングと資金計画,FP3級;用語,主に会社員が加入する公的医療保険で、全国健康保険協会または健康保険組合が運営。,主に会社員が加入する公的医療保険で、全国健康保険協会または健康保険組合が運営。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
国民健康保険,ライフプランニングと資金計画,FP3級;用語,自営業者・農業者・無職者などが加入する市区町村が運営する公的医療保険。,自営業者・農業者・無職者などが加入する市区町村が運営する公的医療保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
後期高齢者医療制度,ライフプランニングと資金計画,FP3級;用語,75歳以上（または65歳以上の障害認定者）を対象とする独立した医療制度。,75歳以上（または65歳以上の障害認定者）を対象とする独立した医療制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
傷病手当金,ライフプランニングと資金計画,FP3級;用語,健康保険の被保険者が業務外の病気・ケガで連続4日以上休業した際に支給される給付。,健康保険の被保険者が業務外の病気・ケガで連続4日以上休業した際に支給される給付。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
出産手当金,ライフプランニングと資金計画,FP3級;用語,健康保険の被保険者が出産のため休業した際に支給される給付（産前42日・産後56日）。,健康保険の被保険者が出産のため休業した際に支給される給付（産前42日・産後56日）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
出産育児一時金,ライフプランニングと資金計画,FP3級;用語,健康保険から支給される出産時の一時金（原則50万円）。,健康保険から支給される出産時の一時金（原則50万円）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
埋葬料,ライフプランニングと資金計画,FP3級;用語,健康保険の被保険者が死亡した際に支給される給付（5万円）。,健康保険の被保険者が死亡した際に支給される給付（5万円）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
高額療養費制度,ライフプランニングと資金計画,FP3級;用語,1か月の医療費自己負担が一定額（自己負担限度額）を超えた場合に超過分を払い戻す制度。,1か月の医療費自己負担が一定額（自己負担限度額）を超えた場合に超過分を払い戻す制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
自己負担限度額,ライフプランニングと資金計画,FP3級;用語,高額療養費制度における月ごとの自己負担の上限額で、所得区分に応じて異なる。,高額療養費制度における月ごとの自己負担の上限額で、所得区分に応じて異なる。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
介護保険,ライフプランニングと資金計画,FP3級;用語,40歳以上が加入し、要介護・要支援認定を受けた際に介護サービスを受けられる制度。,40歳以上が加入し、要介護・要支援認定を受けた際に介護サービスを受けられる制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
第1号被保険者（介護）,ライフプランニングと資金計画,FP3級;用語,介護保険の65歳以上の加入者で、原因を問わず要介護認定を受けられる。,介護保険の65歳以上の加入者で、原因を問わず要介護認定を受けられる。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
第2号被保険者（介護）,ライフプランニングと資金計画,FP3級;用語,介護保険の40歳以上65歳未満の加入者で、特定疾病が原因の場合に給付を受けられる。,介護保険の40歳以上65歳未満の加入者で、特定疾病が原因の場合に給付を受けられる。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
要介護認定,ライフプランニングと資金計画,FP3級;用語,介護保険のサービスを利用するために必要な認定で、要支援1〜2・要介護1〜5の7段階。,介護保険のサービスを利用するために必要な認定で、要支援1〜2・要介護1〜5の7段階。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
国民年金（基礎年金）,ライフプランニングと資金計画,FP3級;用語,20歳以上60歳未満の全ての人が加入する1階建ての年金制度。,20歳以上60歳未満の全ての人が加入する1階建ての年金制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
厚生年金保険,ライフプランニングと資金計画,FP3級;用語,会社員・公務員等が国民年金に上乗せして加入する2階建ての年金制度。,会社員・公務員等が国民年金に上乗せして加入する2階建ての年金制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
第1号被保険者（年金）,ライフプランニングと資金計画,FP3級;用語,国民年金の自営業者・学生・無職者等で、保険料を自ら納付する。,国民年金の自営業者・学生・無職者等で、保険料を自ら納付する。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
第2号被保険者（年金）,ライフプランニングと資金計画,FP3級;用語,国民年金の会社員・公務員等で、厚生年金保険を通じて国民年金にも加入。,国民年金の会社員・公務員等で、厚生年金保険を通じて国民年金にも加入。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
第3号被保険者（年金）,ライフプランニングと資金計画,FP3級;用語,国民年金の第2号被保険者に扶養される配偶者で、保険料負担なく加入。,国民年金の第2号被保険者に扶養される配偶者で、保険料負担なく加入。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
老齢基礎年金,ライフプランニングと資金計画,FP3級;用語,原則65歳から受給できる国民年金の老齢給付で、受給には10年以上の受給資格期間が必要。,原則65歳から受給できる国民年金の老齢給付で、受給には10年以上の受給資格期間が必要。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
老齢厚生年金,ライフプランニングと資金計画,FP3級;用語,老齢基礎年金に上乗せされる厚生年金保険の老齢給付。,老齢基礎年金に上乗せされる厚生年金保険の老齢給付。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
障害基礎年金,ライフプランニングと資金計画,FP3級;用語,初診日から1年6か月後に一定の障害状態にある場合に支給される国民年金の給付。,初診日から1年6か月後に一定の障害状態にある場合に支給される国民年金の給付。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
遺族基礎年金,ライフプランニングと資金計画,FP3級;用語,子のある配偶者または子に支給される国民年金の死亡給付。,子のある配偶者または子に支給される国民年金の死亡給付。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
遺族厚生年金,ライフプランニングと資金計画,FP3級;用語,厚生年金保険の被保険者等が死亡した場合に遺族に支給される給付。,厚生年金保険の被保険者等が死亡した場合に遺族に支給される給付。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
繰上げ受給,ライフプランニングと資金計画,FP3級;用語,老齢年金を60〜64歳の間に前倒して受け取ること（1か月あたり0.4%減額）。,老齢年金を60〜64歳の間に前倒して受け取ること（1か月あたり0.4%減額）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
繰下げ受給,ライフプランニングと資金計画,FP3級;用語,老齢年金を66〜75歳まで遅らせて受け取ること（1か月あたり0.7%増額）。,老齢年金を66〜75歳まで遅らせて受け取ること（1か月あたり0.7%増額）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
付加年金,ライフプランニングと資金計画,FP3級;用語,国民年金第1号被保険者が月400円の付加保険料を納付することで上乗せされる年金。,国民年金第1号被保険者が月400円の付加保険料を納付することで上乗せされる年金。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
国民年金基金,ライフプランニングと資金計画,FP3級;用語,国民年金第1号被保険者が加入できる上乗せ年金制度（付加年金との併用不可）。,国民年金第1号被保険者が加入できる上乗せ年金制度（付加年金との併用不可）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
iDeCo（個人型確定拠出年金）,ライフプランニングと資金計画,FP3級;用語,自ら掛金を拠出・運用する私的年金で、掛金が全額所得控除となる。,自ら掛金を拠出・運用する私的年金で、掛金が全額所得控除となる。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
企業型確定拠出年金（DC）,ライフプランニングと資金計画,FP3級;用語,企業が掛金を拠出し従業員が運用する私的年金で、給付額は運用結果により変動。,企業が掛金を拠出し従業員が運用する私的年金で、給付額は運用結果により変動。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
確定給付企業年金（DB）,ライフプランニングと資金計画,FP3級;用語,あらかじめ給付額が確定している企業年金制度。,あらかじめ給付額が確定している企業年金制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
雇用保険,ライフプランニングと資金計画,FP3級;用語,失業・育児・介護等の際に給付を行う強制加入の労働保険。,失業・育児・介護等の際に給付を行う強制加入の労働保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
基本手当（失業給付）,ライフプランニングと資金計画,FP3級;用語,雇用保険の被保険者が離職した際に受け取れる給付（いわゆる失業手当）。,雇用保険の被保険者が離職した際に受け取れる給付（いわゆる失業手当）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
所定給付日数,ライフプランニングと資金計画,FP3級;用語,基本手当を受け取れる日数で、離職理由・被保険者期間・年齢により異なる。,基本手当を受け取れる日数で、離職理由・被保険者期間・年齢により異なる。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
給付制限,ライフプランニングと資金計画,FP3級;用語,自己都合退職の場合に基本手当の支給が2〜3か月間待機される措置。,自己都合退職の場合に基本手当の支給が2〜3か月間待機される措置。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
労災保険,ライフプランニングと資金計画,FP3級;用語,業務上・通勤途上の災害に対して医療費・休業補償等を給付する制度。,業務上・通勤途上の災害に対して医療費・休業補償等を給付する制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
保険契約者,リスク管理,FP3級;用語,保険会社と保険契約を結び保険料を支払う人。,保険会社と保険契約を結び保険料を支払う人。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
被保険者,リスク管理,FP3級;用語,保険の対象となる人（生命保険では保険の対象、損害保険では損害補償の対象）。,保険の対象となる人（生命保険では保険の対象、損害保険では損害補償の対象）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
保険受取人,リスク管理,FP3級;用語,保険金を受け取る権利を持つ人。,保険金を受け取る権利を持つ人。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
保険料,リスク管理,FP3級;用語,保険契約者が保険会社に支払う対価。,保険契約者が保険会社に支払う対価。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
保険金,リスク管理,FP3級;用語,保険事故が発生した際に保険会社から支払われる金額。,保険事故が発生した際に保険会社から支払われる金額。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
給付金,リスク管理,FP3級;用語,入院・手術など保険事故に際して支払われる金額（保険金以外の給付）。,入院・手術など保険事故に際して支払われる金額（保険金以外の給付）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
純保険料,リスク管理,FP3級;用語,保険金支払いに充てられる保険料部分（付加保険料を除く）。,保険金支払いに充てられる保険料部分（付加保険料を除く）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
付加保険料,リスク管理,FP3級;用語,保険会社の経費・利益に充てられる保険料部分。,保険会社の経費・利益に充てられる保険料部分。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
告知義務,リスク管理,FP3級;用語,保険契約時に保険会社から求められた事項について正確に申告する義務。,保険契約時に保険会社から求められた事項について正確に申告する義務。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
通知義務,リスク管理,FP3級;用語,契約後に契約内容に影響する事実が生じた際に保険会社に知らせる義務。,契約後に契約内容に影響する事実が生じた際に保険会社に知らせる義務。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
失効,リスク管理,FP3級;用語,保険料の未払い等により保険契約の効力が消滅すること。,保険料の未払い等により保険契約の効力が消滅すること。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
解約返戻金,リスク管理,FP3級;用語,生命保険を途中解約した際に返戻される金額で、積立部分から計算される。,生命保険を途中解約した際に返戻される金額で、積立部分から計算される。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
定期保険,リスク管理,FP3級;用語,一定期間内に死亡した場合のみ保険金が支払われる掛け捨て型保険。,一定期間内に死亡した場合のみ保険金が支払われる掛け捨て型保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
終身保険,リスク管理,FP3級;用語,保険期間が一生涯で、死亡・高度障害時に保険金が支払われる保険。,保険期間が一生涯で、死亡・高度障害時に保険金が支払われる保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
養老保険,リスク管理,FP3級;用語,一定期間内の死亡保障と、満期時の満期保険金がセットになった保険。,一定期間内の死亡保障と、満期時の満期保険金がセットになった保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
収入保障保険,リスク管理,FP3級;用語,被保険者の死亡後、残りの保険期間中に毎月一定額が支払われる保険。,被保険者の死亡後、残りの保険期間中に毎月一定額が支払われる保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
変額保険,リスク管理,FP3級;用語,運用実績によって保険金・解約返戻金が変動する保険（死亡保険金に最低保証あり）。,運用実績によって保険金・解約返戻金が変動する保険（死亡保険金に最低保証あり）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
定期保険特約,リスク管理,FP3級;用語,主契約（終身保険等）に上乗せして一定期間の死亡保障を追加する特約。,主契約（終身保険等）に上乗せして一定期間の死亡保障を追加する特約。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
疾病入院特約,リスク管理,FP3級;用語,病気による入院・手術に対して給付金が支払われる特約。,病気による入院・手術に対して給付金が支払われる特約。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
災害割増特約,リスク管理,FP3級;用語,不慮の事故や災害による死亡・障害に対して保険金が割増して支払われる特約。,不慮の事故や災害による死亡・障害に対して保険金が割増して支払われる特約。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
リビングニーズ特約,リスク管理,FP3級;用語,余命6か月以内と診断された場合に死亡保険金の一部または全部を前払いで受け取れる特約（無料）。,余命6か月以内と診断された場合に死亡保険金の一部または全部を前払いで受け取れる特約（無料）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
保険料払込猶予期間,リスク管理,FP3級;用語,保険料の払込期日を過ぎても一定期間は失効しない猶予期間（月払い：翌月末日まで等）。,保険料の払込期日を過ぎても一定期間は失効しない猶予期間（月払い：翌月末日まで等）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
自動振替貸付制度,リスク管理,FP3級;用語,保険料払込猶予期間内に払込がない場合、解約返戻金を担保に保険料を自動で立替する制度。,保険料払込猶予期間内に払込がない場合、解約返戻金を担保に保険料を自動で立替する制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
契約者貸付制度,リスク管理,FP3級;用語,解約返戻金の一定範囲内で保険会社から借入できる制度。,解約返戻金の一定範囲内で保険会社から借入できる制度。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
払済保険,リスク管理,FP3級;用語,以降の保険料払込を中止し、その時点の解約返戻金を原資に保険期間を維持する方法。,以降の保険料払込を中止し、その時点の解約返戻金を原資に保険期間を維持する方法。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
延長保険,リスク管理,FP3級;用語,保険料払込を中止し、解約返戻金を原資に定期保険に転換して保険金額を維持する方法。,保険料払込を中止し、解約返戻金を原資に定期保険に転換して保険金額を維持する方法。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
責任準備金,リスク管理,FP3級;用語,保険会社が将来の保険金支払いに備えて積み立てる準備金。,保険会社が将来の保険金支払いに備えて積み立てる準備金。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
予定利率,リスク管理,FP3級;用語,保険会社が保険料算出時に見込む運用利回りで、高いほど保険料が安くなる。,保険会社が保険料算出時に見込む運用利回りで、高いほど保険料が安くなる。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
生命保険料控除,リスク管理,FP3級;用語,支払った生命保険料の一定額を所得控除できる制度（一般・介護医療・個人年金の3区分）。,支払った生命保険料の一定額を所得控除できる制度（一般・介護医療・個人年金の3区分）。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
火災保険,リスク管理,FP3級;用語,建物・家財が火災・風水害等の損害を受けた場合に補償する保険。,建物・家財が火災・風水害等の損害を受けた場合に補償する保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
地震保険,リスク管理,FP3級;用語,地震・噴火・津波による火災等の損害を補償する保険で、火災保険に付帯する形で加入。,地震・噴火・津波による火災等の損害を補償する保険で、火災保険に付帯する形で加入。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
自動車保険（任意）,リスク管理,FP3級;用語,自賠責保険を補完する任意加入の保険で、対人・対物・車両・搭乗者等を補償。,自賠責保険を補完する任意加入の保険で、対人・対物・車両・搭乗者等を補償。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
自動車損害賠償責任保険（自賠責）,リスク管理,FP3級;用語,自動車の人身事故に対する加害者の損害賠償を補償する強制加入保険。,自動車の人身事故に対する加害者の損害賠償を補償する強制加入保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
賠償責任保険,リスク管理,FP3級;用語,第三者に損害を与えた際の賠償責任を補償する保険。,第三者に損害を与えた際の賠償責任を補償する保険。,,,B,,,,,,,,,,,,,,,,,,,,,,,,draft
