question_no,type,category,tags,source_ref,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
11,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-13-v2,2024-gakka-13,Ａ資産の期待収益率が4.0％、Ｂ資産の期待収益率が7.0％の場合に、Ａ資産を30％、Ｂ資産を70％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,5.5％,6.1％,11.0％,,2,正解は2です。Ａ資産4.0％×30％＋Ｂ資産7.0％×70％＝1.2％＋4.9％＝6.1％です。期待収益率は組入比率で加重平均します。,2024年学科第13問の2問目の派生。収益率と組入比率を変更した演習問題です。,4.0×0.3＋7.0×0.7＝6.1％。加重平均の式に当てはめて計算します。,1:5.5％は加重平均の結果ではありません。30％と70％の比率であれば4.0×0.3＋7.0×0.7＝6.1％となり、単純平均の5.5％や端数処理の誤りと混同しないよう注意してください。;3:11.0％は4.0％と7.0％を足した値です。ポートフォリオの期待収益率は収益率の合計ではなく、各資産の期待収益率に組入比率を掛けて合計する加重平均で求めます。足し算だけで終わらせないよう、必ず比率を掛けてから合計してください。,第1問と同型です。比率が非対称（30％・70％）でも、必ず「収益率×比率」を足します。
12,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2025-gakka-29-v1,2025-gakka-29,貸家の相続税評価額は、その家屋の固定資産税評価額が1億円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、原則として、 （   ）となる。,,,,,,"3,000万円","7,000万円","8,200万円",,2,"正解は2です。貸家の評価額は、固定資産税評価額×(1－借家権割合×賃貸割合)で求めます。1億円×(1－30％×100％)＝1億円×70％＝7,000万円です。借地権割合は貸家の家屋評価では使いません。",2025年学科第29問（貸家）をベースに、固定資産税評価額だけ入れ替えた演習問題です。,"1億円×(1－0.3×1)＝7,000万円。貸家は借家権割合と賃貸割合のみで評価額を下げます。","1:3,000万円は借地権割合60％だけを控除したような別計算の結果です。貸家の家屋評価では借地権割合は使わず、借家権割合×賃貸割合を控除する公式を使います。;3:8,200万円は借地権・借家権を混同した貸家建付地の式に近い誤答です。本問は貸家（家屋のみ）なので、固定資産税評価額×(1－借家権割合×賃貸割合)が正しい計算です。借地権割合60％は家屋評価では使いません。",貸家＝固定資産税評価額×(1－借家権割合×賃貸割合)。貸家建付地・貸宅地と公式が異なるので区別すること。
13,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-28-v1,2024-gakka-28,"死亡したＣさんが所有していた上場株式Ｙを相続により取得した場合の１株当たりの相続税評価額は、下記の〈資料〉によれば、 （   ）である。

〈資料〉上場株式Ｙの価格
Ｃさんが死亡した月の前々月の毎日の最終価格の月平均額 ： 480円
Ｃさんが死亡した月の前月の毎日の最終価格の月平均額　： 550円
Ｃさんが死亡した月の毎日の最終価格の月平均額　　　： 590円
Ｃさんが死亡した日の最終価格　　　　　　　： 585円",,,,,,480円,550円,590円,,1,正解は1です。上場株式の相続税評価額は、相続開始日の最終価格、相続開始月・前月・前々月の各月平均額のうち最も低い価額で評価します。資料では480円が最も低いため、評価額は480円です。,2024年学科第28問（上場株式の相続税評価）をベースに、価格データだけ入れ替えた演習問題です。,4つの価額のうち最も低い480円が評価額です。死亡日の最終価格だけでなく月平均額も比較します。,2:550円は前月の月平均額ですが、前々月平均480円の方が低いため評価額にはなりません。上場株式は比較対象のうち最も低い価額を採用する点がポイントです。;3:590円は死亡月の月平均額です。最終価格585円よりは低くても、前々月平均480円がさらに低いため、評価額は480円になります。4つの価額すべてを比較して最も低い価額を選びます。,上場株式の相続税評価＝最終価格と3か月の月平均のうち最も低い価額。4つすべてを比較してください。
14,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2024-gakka-18-v1,2024-gakka-18,納税者が2012年１月１日以後に締結した生命保険契約により、一般の生命保険料控除の対象となる保険料と個人年金保険料控除の対象となる保険料をそれぞれ年間10万円支払った場合、所得税において、支払った年分の生命保険料控除の控除額は、 （   ）となる。,,,,,,4万円,8万円,12万円,,2,正解は2です。2012年1月1日以後の新契約では、一般生命保険料控除と個人年金保険料控除は、それぞれ所得税で最高4万円です。2区分で最高額となる場合、合計の控除額は8万円です。,2024年学科第18問（生命保険料控除）をベースに、対象区分を2つに絞り数値を整理した演習問題です。,一般・個人年金それぞれ最高4万円。2区分×4万円＝8万円。介護医療保険料控除は本問の支払いに含まれません。,1:4万円は1区分分のみの上限です。一般と個人年金の2区分それぞれについて控除を計算し、合算する必要があります。本問では両区分とも年間10万円の支払いで最高4万円が適用されます。;3:12万円は介護医療保険料控除を含む3区分すべてで最高額となった場合の合計です。本問は一般・個人年金の2区分のみの支払いなので、合計8万円が正しい控除額になります。,新契約の生命保険料控除は区分ごとに最高4万円（所得税）。支払った区分の数だけ合算します。
15,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-18-v1,2026-gakka-18,所得税において、控除対象扶養親族のうち、その年の12月31日時点の年齢が16歳以上19歳未満である一般扶養親族に係る扶養控除の控除額は、一般扶養親族１人につき（   ）である。,,,,,,38万円,48万円,63万円,,1,正解は1です。16歳以上19歳未満の扶養親族は一般扶養親族に該当します。所得税の扶養控除額は、一般扶養親族1人につき38万円です。63万円は特定扶養親族（19歳以上23歳未満）の控除額です。,2026年学科第18問（扶養控除）をベースに、対象年齢帯を一般扶養親族に変えた演習問題です。,16歳以上19歳未満は一般扶養親族で38万円。19歳以上23歳未満の特定扶養親族63万円と混同しないこと。,2:48万円は老人扶養親族（70歳以上）の控除額です。本問は16歳以上19歳未満の一般扶養親族なので、38万円が適用されます。年齢区分ごとの控除額を整理して覚えましょう。;3:63万円は特定扶養親族（19歳以上23歳未満）の控除額です。16歳以上19歳未満は一般扶養親族に該当し、控除額は38万円です。年齢の区分線に注意してください。,扶養控除は年齢区分で金額が変わります。一般38万・特定63万・老人48万などを年齢とセットで覚えること。
16,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-29-v2,2024-gakka-29,"貸家建付地の相続税評価額は、その自用地としての価額が１億2,000万円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。",,,,,,"9,600万円","9,840万円","1億2,000万円",,2,"正解は2です。貸家建付地の評価額は、自用地価額×(1－借地権割合×借家権割合×賃貸割合)で求めます。１億2,000万円×(1－60％×30％×100％)＝１億2,000万円×82％＝9,840万円です。",2024年学科第29問（貸家建付地）の2問目の派生。自用地価額を変更した演習問題です。,"１億2,000万円×0.82＝9,840万円。借地権・借家権・賃貸割合を掛け合わせてから控除します。","1:9,600万円は自用地価額の80％など、割合の掛け方を誤った場合に出やすい値です。正しくは1－(0.6×0.3×1)＝0.82を掛け、１億2,000万円×0.82＝9,840万円となります。;3:1億2,000万円は自用地のままの評価額で、貸家建付地としての減額を反映していません。賃貸部分に係る借地権・借家権の影響を控除する必要があります。",第5問と同型。自用地価額が変わっても公式は同じです。0.82の係数を素早く当てはめられるように練習しましょう。
17,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-12-v2,2025-gakka-12,"Ｚ社の株価が2,400円、１株当たり純利益が80円である場合、Ｚ社のＰＥＲ（株価収益率）は、 （   ）である。",,,,,,15倍,30倍,80倍,,2,"正解は2です。PERは株価÷１株当たり純利益で求めます。2,400円÷80円＝30倍です。",2025年学科第12問（ROE）と同じデータ構造を用い、PERを求める演習問題です。,"PER＝2,400円÷80円＝30倍。株価を1株当たり純利益で割ります。","1:15倍は純利益の2倍で割るなど、計算式を誤った場合の値です。PERは株価÷純利益であり、純資産1,200円はPBRの計算に使う数値で、PERでは使いません。;3:80倍は純利益の数値（80円）をそのまま倍率と混同した誤りです。株価2,400円を純利益80円で割ると30倍になります。分子は株価、分母は純利益です。",PER＝株価÷純利益。ROEやPBRと分母が異なるので、指標ごとに分子・分母を整理して覚えましょう。
18,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2025-gakka-16-v2,2025-gakka-16,所得税における一時所得に係る総収入金額が500万円で、その収入を得るために支出した金額が150万円である場合、一時所得の金額は（ ① ）となり、そのうち総所得金額に算入される金額は（ ② ）となる。,,,,,,① 250万円   ② 125万円,① 300万円   ② 150万円,① 350万円   ② 175万円,,2,正解は2です。一時所得の金額は、500万円－150万円－特別控除50万円＝300万円です。総所得金額に算入されるのはその2分の1なので、150万円です。,2025年学科第16問（一時所得）の2問目の派生。収入・支出の数値を変更した演習問題です。,一時所得＝500万円－150万円－50万円＝300万円。総所得への算入は2分の1の150万円です。,1:①250万円②125万円は特別控除50万円を差し引かない、または2分の1を取らない誤りです。一時所得は必ず50万円控除後に半分だけが総所得に入ります。順序を間違えないこと。;3:①350万円②175万円は支出150万円を差し引かず500万円－50万円の半分など、支出漏れで生じやすい誤答です。収入を得るための支出150万円は必ず差し引いてから50万円控除します。,第4問と同型です。数字が変わっても「収入－支出－50万円」のあと半分、の順序は同じです。
19,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v2,2026-gakka-11,表面利率（クーポンレート）2％、残存期間6年の固定利付債券を額面100円当たり101円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第３位を四捨五入している。,,,,,,1.80％,1.82％,2.00％,,2,正解は2です。{2円＋(100円－101円)÷6年}÷101円×100＝約1.816％となり、小数点以下第3位を四捨五入して1.82％です。,2026年学科第11問（債券の最終利回り）の2問目の派生。利率・期間・購入価格を変更した演習問題です。,{2＋(100－101)÷6}÷101×100≒1.816％→1.82％。プレミアム購入では償還差損が利回りを押し下げます。,1:1.80％は償還差損の按分を誤る、または四捨五入前の桁を切り捨てた誤りで出やすい値です。式どおり計算すると1.816％…となり、小数点以下第3位を四捨五入して1.82％になります。;3:2.00％は表面利率そのもので、購入価格101円が額面と異なる場合の償還差損を反映していません。最終利回りは購入価格101円を分母にして計算します。プレミアム購入では利回りは表面利率より低くなります。,第7問と同型。残存期間が変わると償還差益・損の年あたり按分も変わるので、毎回式に代入してください。
20,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-12-v2,2026-gakka-12,"下記の〈Ｖ社のデータ〉に基づいて計算したＶ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｖ社のデータ〉
株価　　　　　： 3,000円
１株当たり年間配当金：　 90円
１株当たり純利益　： 150円
１株当たり純資産　： 1,200円",,,,,,① 30％   ②  2％,① 60％   ②  3％,① 60％   ②  5％,,2,"正解は2です。配当性向は90円÷150円×100＝60％です。配当利回りは90円÷3,000円×100＝3％です。",2026年学科第12問（配当性向・配当利回り）の2問目の派生。数値を変更した演習問題です。,"配当性向＝90÷150×100＝60％。配当利回り＝90÷3,000×100＝3％。①60％②3％が正しい組合せです。","1:①30％②2％は配当性向を純資産1,200円で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益150円であり、90÷150×100＝60％が正しい配当性向です。;3:①60％②5％は配当性向は正しいが配当利回りを90÷1,800などで計算した誤りです。利回りの分母は株価3,000円なので、90÷3,000×100＝3％です。",第8問と同型。配当性向と配当利回りは分母が異なります（純利益 vs 株価）。
21,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-12-v1,2024-gakka-12,"Ｗ社の株価が2,100円、１株当たり純資産（自己資本）が1,400円である場合、Ｗ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,1.0倍,1.5倍,2.1倍,,2,"正解は2です。PBRは株価÷１株当たり純資産で求めます。2,100円÷1,400円＝1.5倍です。",2024年学科第12問（PBRの定義）をベースに、数値計算問題にした演習問題です。,"PBR＝2,100円÷1,400円＝1.5倍。株価を1株当たり純資産で割ります。","1:1.0倍は純資産と株価が等しい場合の値です。本問では株価2,100円が純資産1,400円より大きいため、1倍を超えるPBRになります。割り算の結果は1.5倍です。;3:2.1倍は株価の数値（2,100円）をそのまま倍率と混同した誤りです。PBRは株価を純資産で割った商であり、2,100÷1,400＝1.5倍が正しい計算です。",PBR＝株価÷純資産。PER（÷純利益）やROE（純利益÷純資産）と公式が異なるので混同しないこと。
22,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-13-v3,2024-gakka-13,Ａ資産の期待収益率が1.5％、Ｂ資産の期待収益率が5.5％の場合に、Ａ資産を60％、Ｂ資産を40％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,3.1％,3.5％,7.0％,,1,正解は1です。Ａ資産1.5％×60％＋Ｂ資産5.5％×40％＝0.9％＋2.2％＝3.1％です。,2024年学科第13問の3問目の派生。組入比率を非対称にした加重平均の演習です。,1.5×0.6＋5.5×0.4＝3.1％。期待収益率は組入比率で加重平均します。,2:3.5％は(1.5％＋5.5％)÷2の単純平均に近い誤答です。ポートフォリオは比率60％・40％で加重するため、3.1％になります。単純平均と加重平均を混同しないこと。;3:7.0％は1.5％と5.5％を足した値です。期待収益率は合計ではなく、各収益率に組入比率を掛けて合計します。足し算だけで終わらせないよう、必ず比率を掛けてから合計してください。,第1問・第11問と同型。Aの比率が大きいほど、低い収益率Aの影響が強く出ます。
23,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2025-gakka-29-v2,2025-gakka-29,"貸家の相続税評価額は、その家屋の固定資産税評価額が6,000万円、借地権割合が50％、借家権割合が30％、賃貸割合が100％である場合、原則として、 （   ）となる。",,,,,,"1,800万円","4,200万円","5,100万円",,2,"正解は2です。貸家の評価額は、固定資産税評価額×(1－借家権割合×賃貸割合)で求めます。6,000万円×(1－30％×100％)＝6,000万円×70％＝4,200万円です。",2025年学科第29問（貸家）の2問目の派生。固定資産税評価額を変更した演習問題です。,"6,000万円×(1－0.3×1)＝4,200万円。借地権割合は貸家の家屋評価では使いません。","1:1,800万円は借地権割合50％だけを控除した計算など、貸家の公式と異なる誤りです。貸家は固定資産税評価額×(1－借家権割合×賃貸割合)で評価します。;3:5,100万円は6,000万円×85％など、借家権割合の掛け方を誤った場合に出やすい値です。借家権30％・賃貸100％なら控除は30％で、残り70％が評価額です。",第12問と同型。数値が変わっても「1－借家権×賃貸」の係数を先に求めると速いです。
24,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2024-gakka-18-v2,2024-gakka-18,納税者が2012年１月１日以後に締結した生命保険契約により、一般の生命保険料控除・個人年金保険料控除・介護医療保険料控除の対象となる保険料をそれぞれ年間10万円支払った場合、所得税において、支払った年分の生命保険料控除の控除額は、 （   ）となる。,,,,,,8万円,12万円,30万円,,2,正解は2です。新契約では各区分とも所得税で最高4万円です。3区分すべてで最高額となる場合、4万円×3＝12万円です。,2024年学科第18問の2問目の派生。3区分すべてを支払った場合の合計控除額を問う演習です。,一般・個人年金・介護医療それぞれ最高4万円。3区分×4万円＝12万円です。,1:8万円は2区分分のみの合計です。本問は3区分すべてに年間10万円を支払っているため、各区分で最高4万円が適用され、合計12万円になります。2区分のときは8万円、3区分では12万円です。;3:30万円は支払保険料の合計額です。控除額は支払額そのものではなく、区分ごとの上限4万円を合算した金額です。10万円×3＝30万円と混同しないよう注意してください。,第14問（2区分・8万円）との違いは区分の数。3区分なら最高12万円までです。
