term,category,short_def
公的介護保険,ライフプランニングと資金計画,介護が必要な状態になった際に介護サービスの費用を給付する社会保険。40歳以上が加入。
要介護認定,ライフプランニングと資金計画,介護保険サービスを利用するために必要な認定。要支援1〜2・要介護1〜5の7段階がある。
公的年金,ライフプランニングと資金計画,国が運営する老後・障害・死亡に備えた社会保険。国民年金と厚生年金の2階建て構造。
国民年金,ライフプランニングと資金計画,20歳以上60歳未満の全員が加入する公的年金の基礎部分（1階部分）。
厚生年金,ライフプランニングと資金計画,会社員・公務員が加入する公的年金の上乗せ部分（2階部分）。保険料は労使折半。
老齢基礎年金,ライフプランニングと資金計画,国民年金の保険料を原則10年以上納めた人が65歳から受け取れる年金。
老齢厚生年金,ライフプランニングと資金計画,厚生年金に加入していた人が老齢基礎年金に上乗せして受け取れる年金。
障害基礎年金,ライフプランニングと資金計画,国民年金の被保険者が障害等級1級・2級に認定された場合に受け取れる年金。
遺族基礎年金,ライフプランニングと資金計画,国民年金の被保険者が死亡した際に、子のある配偶者または子に支給される年金。
繰上げ受給,ライフプランニングと資金計画,老齢年金を65歳より早く受け取ること。1か月あたり0.4%減額される。
繰下げ受給,ライフプランニングと資金計画,老齢年金を65歳より遅く受け取ること。1か月あたり0.7%増額される。最大75歳まで繰下げ可能。
iDeCo（個人型確定拠出年金）,ライフプランニングと資金計画,自分で掛金を拠出・運用し、原則60歳以降に受け取る私的年金制度。掛金は全額所得控除。
企業年金,ライフプランニングと資金計画,会社が従業員のために設ける上乗せ年金制度。確定給付企業年金と確定拠出年金（企業型）がある。
雇用保険,ライフプランニングと資金計画,失業・育児・介護などの際に給付を行う社会保険。労働者と事業主が保険料を負担する。
基本手当（失業給付）,ライフプランニングと資金計画,雇用保険の被保険者が失業した際に受け取れる給付。受給には離職票の提出とハローワークへの求職申込が必要。
労働者災害補償保険（労災保険）,ライフプランニングと資金計画,業務上・通勤途上の負傷・疾病・死亡に対して給付する保険。保険料は全額事業主負担。
住宅ローン,ライフプランニングと資金計画,住宅の購入・建築・リフォームのために金融機関から借り入れる長期ローン。
フラット35,ライフプランニングと資金計画,住宅金融支援機構と民間金融機関が提携する全期間固定金利の住宅ローン。
教育ローン,ライフプランニングと資金計画,子の教育資金を調達するためのローン。国の教育ローン（日本政策金融公庫）と民間ローンがある。
奨学金,ライフプランニングと資金計画,学生の学費・生活費を支援する制度。日本学生支援機構の給付型・貸与型が代表的。
クーリング・オフ,ライフプランニングと資金計画,契約後一定期間内であれば無条件で契約を解除できる制度。
消費者契約法,ライフプランニングと資金計画,消費者と事業者の契約において、不当な勧誘や不当条項から消費者を保護する法律。
成年後見制度,ライフプランニングと資金計画,判断能力が不十分な人の財産管理や法律行為を後見人が支援・代理する制度。
任意後見制度,ライフプランニングと資金計画,将来の判断能力低下に備え、元気なうちに後見人と内容を契約しておく制度。
FP（ファイナンシャル・プランナー）,ライフプランニングと資金計画,顧客の収支・資産・保険・税金・相続などを総合的に分析し、生涯設計を支援する専門家。
関連業法,ライフプランニングと資金計画,FPが業務を行う際に遵守すべき法律群。税務相談は税理士法、保険募集は保険業法などが該当。
保険,リスク管理,偶然の事故・病気・死亡などによる経済的損失を、多数の人で分散して補償し合う制度。
保険料,リスク管理,保険契約者が保険会社に支払う対価。純保険料（給付原資）と付加保険料（経費）の合計。
保険金,リスク管理,保険事故が発生した際に保険会社から支払われる金額。
給付金,リスク管理,保険金とは別に、入院・手術などの際に支払われる金銭。医療保険・がん保険で使われる呼称。
契約者,リスク管理,保険会社と保険契約を結び、保険料を支払う人。
被保険者,リスク管理,保険の対象となる人。生命保険では死亡・生存の対象者、損害保険では損害を受ける対象者。
受取人,リスク管理,保険金・給付金を受け取る人。生命保険で指定する。
告知義務,リスク管理,保険契約時に健康状態や職業など重要事項を正確に申告する義務。違反すると契約解除となる場合がある。
生命保険,リスク管理,人の生死を保険事故とする保険。死亡保険・生存保険・生死混合保険に大別される。
定期保険,リスク管理,一定期間内に死亡した場合に保険金が支払われる掛け捨て型の死亡保険。
終身保険,リスク管理,一生涯の死亡保障を持つ保険。解約返戻金があり、貯蓄性もある。
養老保険,リスク管理,満期または死亡のいずれかで同額の保険金が支払われる生死混合型保険。
収入保障保険,リスク管理,被保険者が死亡した場合に、満期まで毎月一定額が支払われる定期保険の一種。
医療保険,リスク管理,入院・手術を主な保障対象とする保険。日額給付型が一般的。
がん保険,リスク管理,がんの診断・入院・手術を主な保障対象とする保険。がん診断一時金を支払うタイプが多い。
介護保険（民間）,リスク管理,公的介護保険を補完する民間の保険。要介護認定や所定の状態になった際に給付される。
就業不能保険,リスク管理,病気・けがにより働けなくなった場合に、一定期間給付金が支払われる保険。
個人年金保険,リスク管理,一定期間または生涯にわたり年金を受け取れる生命保険。老後資金の準備に使われる。
変額保険,リスク管理,保険料の一部を株式・債券等で運用し、運用実績に応じて保険金・解約返戻金が変動する保険。
解約返戻金,リスク管理,生命保険を途中で解約した際に戻ってくる金額。一般に払込保険料を下回る。
払済保険,リスク管理,保険料の払込を中止し、以後の保険料なしで保障を継続する方法。保険金額は減額される。
延長（定期）保険,リスク管理,保険料の払込を中止し、解約返戻金を原資に同額の定期保険に切り替える方法。
契約転換制度,リスク管理,既存の保険を下取りに出し、新しい保険に切り替える制度。
自動振替貸付,リスク管理,保険料が払えなくなった際に、解約返戻金の範囲内で保険会社が立替払いして契約を継続する制度。
損害保険,リスク管理,偶然の事故による財産上の損害を補償する保険。実損てん補が原則。
火災保険,リスク管理,建物・家財の火災・風災・水害等による損害を補償する保険。地震は対象外。
地震保険,リスク管理,地震・噴火・津波による建物・家財の損害を補償する保険。火災保険に付帯して加入する。
自動車保険,リスク管理,自動車事故による損害を補償する保険。自賠責保険（強制）と任意保険がある。
自賠責保険,リスク管理,すべての自動車・バイクに加入が義務付けられた強制保険。対人賠償のみを補償する。
個人賠償責任保険,リスク管理,日常生活での他人への損害賠償責任を補償する保険。
生命保険料控除,リスク管理,生命保険・介護医療保険・個人年金保険の保険料を所得控除できる制度。
地震保険料控除,リスク管理,地震保険料を所得控除できる制度。年間5万円を上限に全額控除。
生命保険契約者保護機構,リスク管理,保険会社が破綻した際に契約者を保護する機関。責任準備金の90%まで補償。
金融商品,金融資産運用,お金を運用・調達するための商品の総称。預金・債券・株式・投資信託などがある。
単利,金融資産運用,元本にのみ利息が付く計算方法。
複利,金融資産運用,元本に加え、すでに付いた利息にも利息が付く計算方法。長期運用で効果が大きい。
預金,金融資産運用,金融機関にお金を預ける金融商品。元本保証がある。
普通預金,金融資産運用,いつでも出し入れ可能な流動性の高い預金。金利は低い。
定期預金,金融資産運用,一定期間引き出せない代わりに普通預金より高い金利が得られる預金。
ペイオフ,金融資産運用,金融機関が破綻した際に預金保険機構が1金融機関につき元本1
預金保険制度,金融資産運用,金融機関の破綻時に預金者を保護する制度。決済用預金は全額保護。
債券,金融資産運用,国や企業が資金調達のために発行する借用証書。満期に額面金額が償還される。
国債,金融資産運用,国が発行する債券。個人向け国債は変動10年・固定5年・固定3年の3種類がある。
社債,金融資産運用,企業が発行する債券。国債より一般に利回りが高いがリスクも高い。
利回り,金融資産運用,投資元本に対する年間収益（利子＋売却損益）の割合。
表面利率（クーポンレート）,金融資産運用,債券の額面金額に対して毎年支払われる利率。
残存期間,金融資産運用,債券の現時点から満期日までの残りの期間。
債券価格と金利の関係,金融資産運用,市場金利が上昇すると既存債券の価格は下落し、金利が低下すると価格は上昇する逆相関の関係。
株式,金融資産運用,企業が発行する出資証券。株主は配当・議決権・残余財産分配請求権を持つ。
配当,金融資産運用,企業が利益の一部を株主に分配すること。
株主優待,金融資産運用,企業が株主に対して自社製品・サービスなどを提供する制度。
PER（株価収益率）,金融資産運用,株価を1株当たり純利益で割った指標。株価の割高・割安の判断に使う。
PBR（株価純資産倍率）,金融資産運用,株価を1株当たり純資産で割った指標。1倍割れは解散価値を下回る状態。
ROE（自己資本利益率）,金融資産運用,純利益を自己資本で割った指標。企業の収益性を示す。
配当利回り,金融資産運用,1株当たり配当金を株価で割った指標。株式投資の利回りの目安。
投資信託,金融資産運用,多数の投資家から資金を集め、専門家が株式・債券等に分散投資する金融商品。
基準価額,金融資産運用,投資信託の1口（または1万口）当たりの純資産価値。毎営業日算出される。
信託報酬,金融資産運用,投資信託の運用・管理に対して投資家が継続的に負担する費用。
アクティブ型投資信託,金融資産運用,市場平均（ベンチマーク）を上回ることを目標に運用する投資信託。
インデックス型投資信託,金融資産運用,日経平均などの指数に連動することを目標とする投資信託。コストが低い。
ETF（上場投資信託）,金融資産運用,証券取引所に上場し株式と同様に売買できる投資信託。
NISA（少額投資非課税制度）,金融資産運用,一定額までの投資から得た利益・配当が非課税になる制度。成長投資枠と積立投資枠の2種類がある。
新NISA,金融資産運用,2024年から始まった恒久化されたNISA制度。年間360万円・生涯1
外貨預金,金融資産運用,外国通貨で預け入れる預金。為替変動リスクがあり、預金保険の対象外。
為替レート,金融資産運用,異なる通貨を交換する際の比率（レート）。
円高・円安,金融資産運用,円の価値が外貨に対して上がることを円高、下がることを円安という。
為替差益・為替差損,金融資産運用,外貨建て資産の円換算額が為替変動で増減すること。
ポートフォリオ,金融資産運用,複数の資産を組み合わせた投資の全体構成。分散投資によりリスクを低減する。
分散投資,金融資産運用,複数の資産・地域・時間に分けて投資することでリスクを軽減する方法。
ドルコスト平均法,金融資産運用,一定金額を定期的に購入し続けることで、平均取得単価を抑える投資方法。
リスクとリターン,金融資産運用,投資においてリスク（不確実性）が高いほど期待リターンも高くなる関係。
流動性リスク,金融資産運用,必要なときに資産を換金できないリスク。
信用リスク,金融資産運用,債券の発行体や預金先金融機関が破綻し、元本・利息が回収できなくなるリスク。
金融商品取引法,金融資産運用,有価証券・デリバティブ等の取引を規制し投資家を保護する法律。
消費者契約法（金融適用）,金融資産運用,不当な勧誘や不当条項の契約を取り消せる消費者保護法。金融商品の勧誘にも適用される。
所得税,タックスプランニング,個人の所得に対して課される国税。1月1日から12月31日の暦年単位で課税される。
課税所得,タックスプランニング,各種控除を差し引いた後の、実際に税率を掛ける対象となる所得額。
累進課税,タックスプランニング,所得が高くなるほど税率が高くなる課税方式。所得税・相続税で採用。
源泉徴収,タックスプランニング,給与・利子・配当などの支払い時に、支払者が税金をあらかじめ差し引いて国に納付する制度。
年末調整,タックスプランニング,給与所得者について、1年間の所得税を会社が精算する手続き。多くの場合、確定申告は不要になる。
確定申告,タックスプランニング,1月1日から12月31日の所得と税額を翌年2月16日〜3月15日に税務署に申告する手続き。
給与所得,タックスプランニング,会社員が勤務先から受け取る給与・賞与に関する所得。給与収入から給与所得控除を差し引いて求める。
給与所得控除,タックスプランニング,給与所得者に認められる概算経費控除。収入額に応じた金額が控除される。
事業所得,タックスプランニング,個人が営む事業から生じる所得。収入から必要経費を差し引いて求める。
不動産所得,タックスプランニング,土地・建物の貸付から生じる所得。収入から必要経費を差し引いて求める。
配当所得,タックスプランニング,株式等の配当から生じる所得。申告分離課税・総合課税・申告不要を選択できる場合がある。
利子所得,タックスプランニング,預金・債券の利子から生じる所得。原則として20.315%が源泉分離課税される。
一時所得,タックスプランニング,懸賞・生命保険の満期金など、偶発的・一時的な所得。総収入から費用と50万円の特別控除を差し引く。
雑所得,タックスプランニング,他の所得区分に該当しない所得。公的年金・副業収入などが該当する。
退職所得,タックスプランニング,退職金・確定拠出年金の一時受取などから生じる所得。退職所得控除があり税負担が軽い。
山林所得,タックスプランニング,山林の伐採・譲渡から生じる所得。5分5乗方式で計算する。
譲渡所得,タックスプランニング,土地・建物・株式等の資産の譲渡から生じる所得。保有期間によって税率が異なる。
所得控除,タックスプランニング,所得税を計算する際に課税所得から差し引ける控除。基礎控除・配偶者控除・扶養控除など14種類ある。
基礎控除,タックスプランニング,すべての納税者に認められる控除。合計所得金額2
配偶者控除,タックスプランニング,合計所得金額48万円以下の配偶者がいる場合に受けられる控除。
扶養控除,タックスプランニング,扶養している親族（16歳以上）がいる場合に受けられる控除。
社会保険料控除,タックスプランニング,支払った社会保険料の全額を所得から控除できる制度。
小規模企業共済等掛金控除,タックスプランニング,iDeCoの掛金や小規模企業共済の掛金を全額控除できる制度。
医療費控除,タックスプランニング,年間の医療費が10万円（または合計所得の5%）を超えた場合に、超過分を控除できる制度。
セルフメディケーション税制,タックスプランニング,特定の市販薬購入費が年間1.2万円を超えた場合に、超過分を控除できる特例（医療費控除の特例）。
寄附金控除,タックスプランニング,ふるさと納税などの寄附金を一定額まで所得控除または税額控除できる制度。
住宅借入金等特別控除（住宅ローン控除）,タックスプランニング,住宅ローン年末残高の一定割合を所得税から直接差し引ける税額控除。
税額控除,タックスプランニング,課税所得に税率を掛けた後の税額から直接差し引く控除。所得控除より節税効果が大きい。
青色申告,タックスプランニング,複式簿記などの記帳を行う代わりに最大65万円の青色申告特別控除などの特典が得られる申告方式。
白色申告,タックスプランニング,簡易な記帳でよい代わりに青色申告の特典が受けられない申告方式。
損益通算,タックスプランニング,不動産所得・事業所得・山林所得・譲渡所得の損失を他の所得と相殺できる制度。
繰越控除,タックスプランニング,その年に控除しきれなかった損失を翌年以降に繰り越して控除できる制度。
住民税,タックスプランニング,都道府県民税と市区町村民税の合計。前年の所得に基づき課税される地方税。
個人事業税,タックスプランニング,一定の事業を営む個人に課される地方税。業種ごとに税率が異なる。
消費税,タックスプランニング,商品・サービスの消費に対して課される間接税。現在の標準税率は10%（軽減税率8%）。
法人税,タックスプランニング,法人の所得に対して課される国税。個人の所得税に相当する。
インボイス制度,タックスプランニング,消費税の仕入税額控除に適格請求書（インボイス）の保存を要件とする制度。
不動産,不動産,土地および建物（定着物）の総称。民法では不動産以外を動産と定義する。
登記,不動産,不動産の所有権・抵当権などの権利関係を法務局の登記簿に記録し、公示する制度。
登記簿謄本（登記事項証明書）,不動産,不動産の表題部・権利部（甲区・乙区）の情報を記録した公的書類。
表題部,不動産,登記簿の中で、土地・建物の物理的な状況（所在・面積等）を示す部分。
権利部（甲区）,不動産,登記簿の中で、所有権に関する情報を記録した部分。
権利部（乙区）,不動産,登記簿の中で、抵当権・地役権などの所有権以外の権利を記録した部分。
不動産鑑定評価,不動産,不動産の経済価値を専門家（不動産鑑定士）が判定すること。
公示地価,不動産,国土交通省が毎年1月1日時点の標準地の価格を公示したもの。一般の取引の指標となる。
固定資産税評価額,不動産,市区町村が固定資産税算定のために評価した価格。公示地価の約70%が目安。
相続税評価額（路線価）,不動産,相続税・贈与税の計算に使う土地の評価額。国税庁が毎年7月に公表する。公示地価の約80%が目安。
建築基準法,不動産,建物の敷地・構造・設備・用途に関する最低基準を定めた法律。
都市計画法,不動産,都市の健全な発展のために土地利用・開発を規制する法律。
用途地域,不動産,都市計画法に基づき、土地の用途を規制するために指定された地域。住居系・商業系・工業系に大別される。
建ぺい率,不動産,敷地面積に対する建築面積（1階の水平投影面積）の割合。用途地域ごとに上限が定められている。
容積率,不動産,敷地面積に対する延べ床面積の割合。用途地域ごとに上限が定められている。
セットバック,不動産,幅員4m未満の道路（2項道路）に面する土地で、道路中心線から2m後退すること。
接道義務,不動産,建築基準法上、建物を建てるには幅員4m以上の道路に2m以上接していなければならないという規定。
日影規制,不動産,隣接する建物への日当たりを確保するために、一定の高さ以上の建物の影の範囲を制限する規制。
媒介契約,不動産,売主または買主が不動産会社に売買・賃貸の仲介を依頼する契約。専属専任・専任・一般の3種類がある。
宅地建物取引業法（宅建業法）,不動産,不動産取引を規制し消費者を保護する法律。宅建士による重要事項説明を義務付けている。
重要事項説明,不動産,不動産売買・賃貸契約前に宅建士が買主・借主に物件・契約内容を説明する義務。
手付金,不動産,不動産売買契約時に買主が売主に支払う金銭。売主は倍返し、買主は放棄で解約できる。
抵当権,不動産,住宅ローンなどの担保として不動産に設定される権利。返済不能時に競売で回収できる。
固定資産税,不動産,毎年1月1日時点の土地・建物の所有者に課される地方税。税率は原則1.4%。
都市計画税,不動産,市街化区域内の土地・建物に課される地方税。税率は原則0.3%が上限。
不動産取得税,不動産,土地・建物を取得した際に一度だけ課される地方税。
印紙税,不動産,契約書・領収書などの課税文書に課される国税。収入印紙を貼付して納付する。
登録免許税,不動産,不動産の登記・登録の際に課される国税。
譲渡所得（不動産）,不動産,不動産の売却益。所有期間5年超（長期）か5年以下（短期）かで税率が異なる。
3,不動産,000万円特別控除
軽減税率の特例（居住用財産）,不動産,所有期間10年超のマイホームを売却した場合に適用される譲渡所得の軽減税率。
不動産の賃貸借,不動産,貸主と借主の間で不動産を使用・収益させる契約。借地借家法が適用される。
相続,相続・事業承継,人が死亡した際に、その財産・権利・義務を一定の親族が引き継ぐこと。
被相続人,相続・事業承継,亡くなった人（財産を残した人）。
相続人,相続・事業承継,財産を引き継ぐ人。民法で定められた法定相続人と、遺言で指定された受遺者がいる。
法定相続人,相続・事業承継,民法が定める相続権を持つ親族。配偶者・子・直系尊属・兄弟姉妹の順位がある。
法定相続分,相続・事業承継,民法が定める各相続人の相続割合。
代襲相続,相続・事業承継,相続人が被相続人より先に死亡していた場合に、その子（孫など）が代わりに相続すること。
相続放棄,相続・事業承継,相続人が相続する権利をすべて放棄すること。家庭裁判所に3か月以内に申述する。
限定承認,相続・事業承継,プラスの財産の範囲内でのみ負債を引き受ける相続の方法。相続人全員で申述する必要がある。
遺言,相続・事業承継,被相続人が生前に自分の財産の処分等について意思表示しておく法律行為。
自筆証書遺言,相続・事業承継,全文・日付・氏名を自書し押印した遺言書。財産目録はパソコン作成も可。
公正証書遺言,相続・事業承継,公証人が作成する遺言書。証人2名以上が必要。改ざんのリスクが低く最も確実。
秘密証書遺言,相続・事業承継,内容を秘密にしたまま存在だけを公証人に証明してもらう遺言書。
遺留分,相続・事業承継,一定の相続人（配偶者・子・直系尊属）に保障された最低限の相続分。
遺留分侵害額請求,相続・事業承継,遺留分を侵害する贈与や遺贈に対して、遺留分権利者が金銭の支払いを請求できる権利。
相続財産,相続・事業承継,相続の対象となるプラスの財産（預金・不動産等）とマイナスの財産（借金等）の総体。
みなし相続財産,相続・事業承継,民法上は相続財産ではないが、相続税の課税対象となる財産。生命保険金・死亡退職金などが該当。
生命保険金の非課税枠,相続・事業承継,相続人が受け取った生命保険金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。
退職手当金の非課税枠,相続・事業承継,相続人が受け取った死亡退職金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。
相続税の基礎控除,相続・事業承継,相続税の課税価格の合計から差し引ける控除。「3
相続税の計算,相続・事業承継,課税遺産総額を法定相続分で按分し、各相続税率を掛けた後に合算し、実際の取得割合で按分して各人の税額を求める。
小規模宅地等の特例,相続・事業承継,被相続人の居住・事業用の宅地について、一定要件を満たす相続人が取得した場合に評価額を最大80%減額できる特例。
贈与,相続・事業承継,生前に財産を無償で他者に渡す法律行為。書面・口頭を問わず双方の意思表示で成立する。
暦年贈与,相続・事業承継,1月1日から12月31日の1年間に受け取った贈与の合計が110万円を超えた場合に贈与税が課される通常の贈与。
贈与税の基礎控除,相続・事業承継,贈与税の計算で1年間に受け取った贈与から差し引ける110万円の控除。
相続時精算課税制度,相続・事業承継,60歳以上の親・祖父母から18歳以上の子・孫への贈与に適用できる制度。2
教育資金の一括贈与の非課税特例,相続・事業承継,祖父母等から30歳未満の孫等への教育資金の一括贈与について1
結婚・子育て資金の一括贈与の非課税特例,相続・事業承継,祖父母等から18歳以上50歳未満の子・孫への結婚・子育て資金の贈与について1
配偶者への居住用不動産の贈与,相続・事業承継,婚姻期間20年以上の配偶者に居住用不動産または購入資金を贈与する場合、2
事業承継,相続・事業承継,経営者が後継者に会社・事業を引き継ぐこと。株式・財産・経営権の移転を含む。
事業承継税制,相続・事業承継,後継者が取得した非上場株式等に係る贈与税・相続税を一定要件下で猶予・免除する制度。
成年後見制度（相続関連）,相続・事業承継,認知症等で判断能力が低下した場合に、後見人が財産管理・法律行為を代理する制度。相続手続きにも関係する。
