term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer,diagram_id,slug,author_name,reviewer_name,fact_checked_at,primary_sources,content_status
資本回収係数,ライフプランニングと資金計画,FP2級;用語,現在の元本を一定期間で均等回収するための毎年の受取額を求める係数。,現在の元本を一定期間で均等回収するための毎年の受取額を求める係数。,,,A,資本回収係数が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,資本回収係数はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
健康保険,ライフプランニングと資金計画,FP2級;用語,主に会社員とその扶養家族が加入する公的医療保険。保険料は労使折半。,主に会社員が加入する公的医療保険で、全国健康保険協会または健康保険組合が運営。,,,A,健康保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,健康保険はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
後期高齢者医療制度,ライフプランニングと資金計画,FP2級;用語,75歳以上（一定の障害がある場合は65歳以上）を対象とした独立した医療保険制度。,75歳以上（一定の障害がある場合は65歳以上）を対象とした独立した医療保険制度。,,,B,後期高齢者医療制度が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,後期高齢者医療制度はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
高額療養費制度,ライフプランニングと資金計画,FP2級;用語,1か月の医療費の自己負担額が一定の上限を超えた場合に、超過分が払い戻される制度。,1か月の医療費自己負担が一定額（自己負担限度額）を超えた場合に超過分を払い戻す制度。,,,B,高額療養費制度が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,高額療養費制度はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
傷病手当金,ライフプランニングと資金計画,FP2級;用語,健康保険の被保険者が病気・けがで連続3日以上休業した場合に、4日目から最長1年6か月支給される給付金。,健康保険の被保険者が病気・けがで連続3日以上休業した場合に、4日目から最長1年6か月支給される給付金。,,,A,傷病手当金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,傷病手当金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
出産育児一時金,ライフプランニングと資金計画,FP2級;用語,健康保険の被保険者が出産した際に支給される一時金。原則50万円。,健康保険の被保険者が出産した際に支給される一時金。原則50万円。,,,B,出産育児一時金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,出産育児一時金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
公的年金,ライフプランニングと資金計画,FP2級;用語,国が運営する老後・障害・死亡に備えた社会保険。国民年金と厚生年金の2階建て構造。,国が運営する老後・障害・死亡に備えた社会保険。国民年金と厚生年金の2階建て構造。,,,A,公的年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,公的年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
国民年金,ライフプランニングと資金計画,FP2級;用語,20歳以上60歳未満の全員が加入する公的年金の基礎部分（1階部分）。,20歳以上60歳未満の全員が加入する公的年金の基礎部分（1階部分）。,,,A,国民年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,国民年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
厚生年金,ライフプランニングと資金計画,FP2級;用語,会社員・公務員が加入する公的年金の上乗せ部分（2階部分）。保険料は労使折半。,会社員・公務員が加入する公的年金の上乗せ部分（2階部分）。保険料は労使折半。,,,A,厚生年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,厚生年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
老齢基礎年金,ライフプランニングと資金計画,FP2級;用語,国民年金の保険料を原則10年以上納めた人が65歳から受け取れる年金。,原則65歳から受給できる国民年金の老齢給付で、受給には10年以上の受給資格期間が必要。,,,A,老齢基礎年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,老齢基礎年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
老齢厚生年金,ライフプランニングと資金計画,FP2級;用語,厚生年金に加入していた人が老齢基礎年金に上乗せして受け取れる年金。,厚生年金に加入していた人が老齢基礎年金に上乗せして受け取れる年金。,,,A,老齢厚生年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,老齢厚生年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
障害基礎年金,ライフプランニングと資金計画,FP2級;用語,国民年金の被保険者が障害等級1級・2級に認定された場合に受け取れる年金。,初診日から1年6か月後に一定の障害状態にある場合に支給される国民年金の給付。,,,B,障害基礎年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,障害基礎年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
遺族基礎年金,ライフプランニングと資金計画,FP2級;用語,国民年金の被保険者が死亡した際に、子のある配偶者または子に支給される年金。,国民年金の被保険者が死亡した際に、子のある配偶者または子に支給される年金。,,,A,遺族基礎年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,遺族基礎年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
繰上げ受給,ライフプランニングと資金計画,FP2級;用語,老齢年金を65歳より早く受け取ること。1か月あたり0.4%減額される。,老齢年金を60〜64歳の間に前倒して受け取ること（1か月あたり0.4%減額）。,,,B,繰上げ受給が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,繰上げ受給はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
繰下げ受給,ライフプランニングと資金計画,FP2級;用語,老齢年金を65歳より遅く受け取ること。1か月あたり0.7%増額される。最大75歳まで繰下げ可能。,老齢年金を65歳より遅く受け取ること。1か月あたり0.7%増額される。最大75歳まで繰下げ可能。,,,B,繰下げ受給が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,繰下げ受給はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
iDeCo（個人型確定拠出年金）,ライフプランニングと資金計画,FP2級;用語,自分で掛金を拠出・運用し、原則60歳以降に受け取る私的年金制度。掛金は全額所得控除。,自分で掛金を拠出・運用し、原則60歳以降に受け取る私的年金制度。掛金は全額所得控除。,,,B,iDeCo（個人型確定拠出年金）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,iDeCo（個人型確定拠出年金）はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
企業年金,ライフプランニングと資金計画,FP2級;用語,会社が従業員のために設ける上乗せ年金制度。確定給付企業年金と確定拠出年金（企業型）がある。,会社が従業員のために設ける上乗せ年金制度。確定給付企業年金と確定拠出年金（企業型）がある。,,,B,企業年金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,企業年金はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
雇用保険,ライフプランニングと資金計画,FP2級;用語,失業・育児・介護などの際に給付を行う社会保険。労働者と事業主が保険料を負担する。,失業・育児・介護などの際に給付を行う社会保険。労働者と事業主が保険料を負担する。,,,A,雇用保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,雇用保険はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
基本手当（失業給付）,ライフプランニングと資金計画,FP2級;用語,雇用保険の被保険者が失業した際に受け取れる給付。受給には離職票の提出とハローワークへの求職申込が必要。,雇用保険の被保険者が失業した際に受け取れる給付。受給には離職票の提出とハローワークへの求職申込が必要。,,,A,基本手当（失業給付）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,基本手当（失業給付）はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
労働者災害補償保険（労災保険）,ライフプランニングと資金計画,FP2級;用語,業務上・通勤途上の負傷・疾病・死亡に対して給付する保険。保険料は全額事業主負担。,業務上・通勤途上の負傷・疾病・死亡に対して給付する保険。保険料は全額事業主負担。,,,A,労働者災害補償保険（労災保険）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,労働者災害補償保険（労災保険）はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
住宅ローン,ライフプランニングと資金計画,FP2級;用語,住宅の購入・建築・リフォームのために金融機関から借り入れる長期ローン。,住宅の購入・建築・リフォームのために金融機関から借り入れる長期ローン。,,,A,住宅ローンが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,住宅ローンはライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
フラット35,ライフプランニングと資金計画,FP2級;用語,住宅金融支援機構と民間金融機関が提携する全期間固定金利の住宅ローン。,住宅金融支援機構と民間金融機関が提携する全期間固定金利の住宅ローン。,,,A,フラット35が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,フラット35はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
消費者契約法,ライフプランニングと資金計画,FP2級;用語,消費者と事業者の契約において、不当な勧誘や不当条項から消費者を保護する法律。,消費者と事業者の契約において、不当な勧誘や不当条項から消費者を保護する法律。,,,B,消費者契約法が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,消費者契約法はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
FP（ファイナンシャル・プランナー）,ライフプランニングと資金計画,FP2級;用語,顧客の収支・資産・保険・税金・相続などを総合的に分析し、生涯設計を支援する専門家。,顧客の収支・資産・保険・税金・相続などを総合的に分析し、生涯設計を支援する専門家。,,,A,FP（ファイナンシャル・プランナー）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,FP（ファイナンシャル・プランナー）はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
関連業法,ライフプランニングと資金計画,FP2級;用語,FPが業務を行う際に遵守すべき法律群。税務相談は税理士法、保険募集は保険業法などが該当。,FPが業務を行う際に遵守すべき法律群。税務相談は税理士法、保険募集は保険業法などが該当。,,,A,関連業法が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,関連業法はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
保険,リスク管理,FP2級;用語,偶然の事故・病気・死亡などによる経済的損失を、多数の人で分散して補償し合う制度。,偶然の事故・病気・死亡などによる経済的損失を、多数の人で分散して補償し合う制度。,,,A,保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
保険料,リスク管理,FP2級;用語,保険契約者が保険会社に支払う対価。純保険料（給付原資）と付加保険料（経費）の合計。,保険契約者が保険会社に支払う対価。純保険料（給付原資）と付加保険料（経費）の合計。,,,A,保険料が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,保険料はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
保険金,リスク管理,FP2級;用語,保険事故が発生した際に保険会社から支払われる金額。,保険事故が発生した際に保険会社から支払われる金額。,,,A,保険金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,保険金はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
給付金,リスク管理,FP2級;用語,保険金とは別に、入院・手術などの際に支払われる金銭。医療保険・がん保険で使われる呼称。,保険金とは別に、入院・手術などの際に支払われる金銭。医療保険・がん保険で使われる呼称。,,,A,給付金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,給付金はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
契約者,リスク管理,FP2級;用語,保険会社と保険契約を結び、保険料を支払う人。,保険会社と保険契約を結び、保険料を支払う人。,,,A,契約者が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,契約者はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
被保険者,リスク管理,FP2級;用語,保険の対象となる人。生命保険では死亡・生存の対象者、損害保険では損害を受ける対象者。,保険の対象となる人。生命保険では死亡・生存の対象者、損害保険では損害を受ける対象者。,,,A,被保険者が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,被保険者はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
受取人,リスク管理,FP2級;用語,保険金・給付金を受け取る人。生命保険で指定する。,保険金・給付金を受け取る人。生命保険で指定する。,,,A,受取人が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,受取人はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
生命保険,リスク管理,FP2級;用語,人の生死を保険事故とする保険。死亡保険・生存保険・生死混合保険に大別される。,人の生死を保険事故とする保険。死亡保険・生存保険・生死混合保険に大別される。,,,A,生命保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,生命保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
定期保険,リスク管理,FP2級;用語,一定期間内に死亡した場合に保険金が支払われる掛け捨て型の死亡保険。,一定期間内に死亡した場合に保険金が支払われる掛け捨て型の死亡保険。,,,A,定期保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,定期保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
終身保険,リスク管理,FP2級;用語,一生涯の死亡保障を持つ保険。解約返戻金があり、貯蓄性もある。,保険期間が一生涯で、死亡・高度障害時に保険金が支払われる保険。,,,A,終身保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,終身保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
養老保険,リスク管理,FP2級;用語,満期または死亡のいずれかで同額の保険金が支払われる生死混合型保険。,満期または死亡のいずれかで同額の保険金が支払われる生死混合型保険。,,,A,養老保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,養老保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
収入保障保険,リスク管理,FP2級;用語,被保険者が死亡した場合に、満期まで毎月一定額が支払われる定期保険の一種。,被保険者が死亡した場合に、満期まで毎月一定額が支払われる定期保険の一種。,,,A,収入保障保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,収入保障保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
医療保険,リスク管理,FP2級;用語,入院・手術を主な保障対象とする保険。日額給付型が一般的。,入院・手術を主な保障対象とする保険。日額給付型が一般的。,,,A,医療保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,医療保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
がん保険,リスク管理,FP2級;用語,がんの診断・入院・手術を主な保障対象とする保険。がん診断一時金を支払うタイプが多い。,がんの診断・入院・手術を主な保障対象とする保険。がん診断一時金を支払うタイプが多い。,,,A,がん保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,がん保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
介護保険（民間）,リスク管理,FP2級;用語,公的介護保険を補完する民間の保険。要介護認定や所定の状態になった際に給付される。,公的介護保険を補完する民間の保険。要介護認定や所定の状態になった際に給付される。,,,A,介護保険（民間）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,介護保険（民間）はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
