term,category,tier,fp2_past_hits,fp3_past_hits,short_def,exclude_reason,audit_note
接道義務,不動産,B,0,1,建築基準法上、建物を建てるには幅員4m以上の道路に2m以上接していなければならないという規定。,FP2未出・中核外,FP3過去問に1回（FP2未出）
日影規制,不動産,B,0,0,隣接する建物への日当たりを確保するために、一定の高さ以上の建物の影の範囲を制限する規制。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
暦年贈与,相続・事業承継,B,0,0,1月1日から12月31日の1年間に受け取った贈与の合計が110万円を超えた場合に贈与税が課される通常の贈与。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
残存期間,金融資産運用,A,0,2,債券の現時点から満期日までの残りの期間。,FP2未出・中核外,FP3過去問に2回（FP2未出）
流動性リスク,金融資産運用,B,0,0,必要なときに資産を換金できないリスク。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
消費者契約法,ライフプランニングと資金計画,B,0,0,消費者と事業者の契約において、不当な勧誘や不当条項から消費者を保護する法律。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
登記簿謄本（登記事項証明書）,不動産,B,0,0,不動産の表題部・権利部（甲区・乙区）の情報を記録した公的書類。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
白色申告,タックスプランニング,B,0,0,簡易な記帳でよい代わりに青色申告の特典が受けられない申告方式。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
相続放棄,相続・事業承継,A,0,4,相続人が相続する権利をすべて放棄すること。家庭裁判所に3か月以内に申述する。,FP2未出・中核外,FP3過去問に4回（FP2未出）
相続財産,相続・事業承継,A,0,2,相続の対象となるプラスの財産（預金・不動産等）とマイナスの財産（借金等）の総体。,FP2未出・中核外,FP3過去問に2回（FP2未出）
社会保険料控除,タックスプランニング,A,0,4,支払った社会保険料の全額を所得から控除できる制度。,FP2未出・中核外,FP3過去問に4回（FP2未出）
秘密証書遺言,相続・事業承継,B,0,0,内容を秘密にしたまま存在だけを公証人に証明してもらう遺言書。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
税額控除,タックスプランニング,B,0,1,課税所得に税率を掛けた後の税額から直接差し引く控除。所得控除より節税効果が大きい。,FP2未出・中核外,FP3過去問に1回（FP2未出）
累進課税,タックスプランニング,B,0,0,所得が高くなるほど税率が高くなる課税方式。所得税・相続税で採用。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
給与所得控除,タックスプランニング,B,0,1,給与所得者に認められる概算経費控除。収入額に応じた金額が控除される。,FP2未出・中核外,FP3過去問に1回（FP2未出）
表面利率（クーポンレート）,金融資産運用,A,0,3,債券の額面金額に対して毎年支払われる利率。,FP2未出・中核外,FP3過去問に3回（FP2未出）
表題部,不動産,B,0,1,登記簿の中で、土地・建物の物理的な状況（所在・面積等）を示す部分。,FP2未出・中核外,FP3過去問に1回（FP2未出）
要介護認定,ライフプランニングと資金計画,B,0,0,介護保険サービスを利用するために必要な認定。要支援1〜2・要介護1〜5の7段階がある。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
課税所得,タックスプランニング,B,0,1,各種控除を差し引いた後の、実際に税率を掛ける対象となる所得額。,FP2未出・中核外,FP3過去問に1回（FP2未出）
遺留分侵害額請求,相続・事業承継,B,0,0,遺留分を侵害する贈与や遺贈に対して、遺留分権利者が金銭の支払いを請求できる権利。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
都市計画税,不動産,B,0,0,市街化区域内の土地・建物に課される地方税。税率は原則0.3%が上限。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
アクティブ型投資信託,金融資産運用,C,0,0,市場平均（ベンチマーク）を上回ることを目標に運用する投資信託。,低重要度,過去問未出・優先度低
インデックス型投資信託,金融資産運用,C,0,0,日経平均などの指数に連動することを目標とする投資信託。コストが低い。,低重要度,過去問未出・優先度低
ライフプランニング,ライフプランニングと資金計画,C,0,0,個人や家族の生涯における収支・資産・リスクを時系列で整理し、目標達成に向けた計画を立てること。,低重要度,過去問未出・優先度低
リスクとリターン,金融資産運用,C,0,0,投資においてリスク（不確実性）が高いほど期待リターンも高くなる関係。,低重要度,過去問未出・優先度低
個人賠償責任保険,リスク管理,A,0,3,日常生活での他人への損害賠償責任を補償する保険。,低重要度,FP3過去問に3回（FP2未出）
円高・円安,金融資産運用,C,0,0,円の価値が外貨に対して上がることを円高、下がることを円安という。,低重要度,過去問未出・優先度低
契約転換制度,リスク管理,C,0,0,既存の保険を下取りに出し、新しい保険に切り替える制度。,低重要度,過去問未出・優先度低
奨学金,ライフプランニングと資金計画,C,0,0,学生の学費・生活費を支援する制度。日本学生支援機構の給付型・貸与型が代表的。,低重要度,過去問未出・優先度低
就業不能保険,リスク管理,C,0,0,病気・けがにより働けなくなった場合に、一定期間給付金が支払われる保険。,低重要度,過去問未出・優先度低
延長（定期）保険,リスク管理,C,0,0,保険料の払込を中止し、解約返戻金を原資に同額の定期保険に切り替える方法。,低重要度,過去問未出・優先度低
教育ローン,ライフプランニングと資金計画,A,0,2,子の教育資金を調達するためのローン。国の教育ローン（日本政策金融公庫）と民間ローンがある。,低重要度,FP3過去問に2回（FP2未出）
株主優待,金融資産運用,C,0,0,企業が株主に対して自社製品・サービスなどを提供する制度。,低重要度,過去問未出・優先度低
為替差益・為替差損,金融資産運用,C,0,0,外貨建て資産の円換算額が為替変動で増減すること。,低重要度,過去問未出・優先度低
生命保険契約者保護機構,リスク管理,A,0,2,保険会社が破綻した際に契約者を保護する機関。責任準備金の90%まで補償。,低重要度,FP3過去問に2回（FP2未出）
自動振替貸付,リスク管理,A,1,0,保険料が払えなくなった際に、解約返戻金の範囲内で保険会社が立替払いして契約を継続する制度。,低重要度,FP2学科過去問に1回出現
ペイオフ,金融資産運用,B,0,0,金融機関が破綻した際に預金保険機構が1金融機関につき元本1000万円まで（利子を含め1200万円まで）を保護する制度。,重複（副次・別称）,過去問未出（範囲内の基礎語として B 維持）
成年後見制度（相続関連）,相続・事業承継,C,0,0,認知症等で判断能力が低下した場合に、後見人が財産管理・法律行為を代理する制度。相続手続きにも関係する。,重複（副次・別称）,「成年後見制度」の副次エントリ
消費者契約法（金融適用）,金融資産運用,B,0,0,不当な勧誘や不当条項の契約を取り消せる消費者保護法。金融商品の勧誘にも適用される。,重複（副次・別称）,過去問未出（範囲内の基礎語として B 維持）
