term,category,short_def,tier,importance,fp2_past_hits,fp3_past_hits,audit_note
クーリング・オフ,ライフプランニングと資金計画,契約後一定期間内であれば無条件で契約を解除できる制度。,B,B,0,1,FP3過去問に1回（FP2未出）
消費者契約法,ライフプランニングと資金計画,消費者と事業者の契約において、不当な勧誘や不当条項から消費者を保護する法律。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
成年後見制度,ライフプランニングと資金計画,判断能力が不十分な人の財産管理や法律行為を後見人が支援・代理する制度。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
任意後見制度,ライフプランニングと資金計画,将来の判断能力低下に備え、元気なうちに後見人と内容を契約しておく制度。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
FP（ファイナンシャル・プランナー）,ライフプランニングと資金計画,顧客の収支・資産・保険・税金・相続などを総合的に分析し、生涯設計を支援する専門家。,A,A,126,22,FP2学科過去問に126回出現
関連業法,ライフプランニングと資金計画,FPが業務を行う際に遵守すべき法律群。税務相談は税理士法、保険募集は保険業法などが該当。,A,B,1,3,FP2学科過去問に1回出現
保険,リスク管理,偶然の事故・病気・死亡などによる経済的損失を、多数の人で分散して補償し合う制度。,A,A,345,278,FP2学科過去問に345回出現
保険料,リスク管理,保険契約者が保険会社に支払う対価。純保険料（給付原資）と付加保険料（経費）の合計。,A,A,79,63,FP2学科過去問に79回出現
保険金,リスク管理,保険事故が発生した際に保険会社から支払われる金額。,A,A,44,46,FP2学科過去問に44回出現
給付金,リスク管理,保険金とは別に、入院・手術などの際に支払われる金銭。医療保険・がん保険で使われる呼称。,A,A,9,19,FP2学科過去問に9回出現
契約者,リスク管理,保険会社と保険契約を結び、保険料を支払う人。,A,A,17,13,FP2学科過去問に17回出現
被保険者,リスク管理,保険の対象となる人。生命保険では死亡・生存の対象者、損害保険では損害を受ける対象者。,A,A,53,32,FP2学科過去問に53回出現
受取人,リスク管理,保険金・給付金を受け取る人。生命保険で指定する。,A,A,13,11,FP2学科過去問に13回出現
告知義務,リスク管理,保険契約時に健康状態や職業など重要事項を正確に申告する義務。違反すると契約解除となる場合がある。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
生命保険,リスク管理,人の生死を保険事故とする保険。死亡保険・生存保険・生死混合保険に大別される。,A,A,21,35,FP2学科過去問に21回出現
定期保険,リスク管理,一定期間内に死亡した場合に保険金が支払われる掛け捨て型の死亡保険。,A,A,12,2,FP2学科過去問に12回出現
終身保険,リスク管理,一生涯の死亡保障を持つ保険。解約返戻金があり、貯蓄性もある。,A,A,10,3,FP2学科過去問に10回出現
養老保険,リスク管理,満期または死亡のいずれかで同額の保険金が支払われる生死混合型保険。,A,A,4,1,FP2学科過去問に4回出現
収入保障保険,リスク管理,被保険者が死亡した場合に、満期まで毎月一定額が支払われる定期保険の一種。,A,B,1,0,FP2学科過去問に1回出現
医療保険,リスク管理,入院・手術を主な保障対象とする保険。日額給付型が一般的。,A,A,6,6,FP2学科過去問に6回出現
がん保険,リスク管理,がんの診断・入院・手術を主な保障対象とする保険。がん診断一時金を支払うタイプが多い。,A,B,1,3,FP2学科過去問に1回出現
介護保険（民間）,リスク管理,公的介護保険を補完する民間の保険。要介護認定や所定の状態になった際に給付される。,A,B,0,2,FP3過去問に2回（FP2未出）
就業不能保険,リスク管理,病気・けがにより働けなくなった場合に、一定期間給付金が支払われる保険。,C,C,0,0,過去問未出・優先度低
個人年金保険,リスク管理,一定期間または生涯にわたり年金を受け取れる生命保険。老後資金の準備に使われる。,A,A,6,5,FP2学科過去問に6回出現
変額保険,リスク管理,保険料の一部を株式・債券等で運用し、運用実績に応じて保険金・解約返戻金が変動する保険。,A,B,1,0,FP2学科過去問に1回出現
解約返戻金,リスク管理,生命保険を途中で解約した際に戻ってくる金額。一般に払込保険料を下回る。,A,A,5,3,FP2学科過去問に5回出現
払済保険,リスク管理,保険料の払込を中止し、以後の保険料なしで保障を継続する方法。保険金額は減額される。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
延長（定期）保険,リスク管理,保険料の払込を中止し、解約返戻金を原資に同額の定期保険に切り替える方法。,C,C,0,0,過去問未出・優先度低
契約転換制度,リスク管理,既存の保険を下取りに出し、新しい保険に切り替える制度。,C,C,0,0,過去問未出・優先度低
自動振替貸付,リスク管理,保険料が払えなくなった際に、解約返戻金の範囲内で保険会社が立替払いして契約を継続する制度。,A,B,1,0,FP2学科過去問に1回出現
損害保険,リスク管理,偶然の事故による財産上の損害を補償する保険。実損てん補が原則。,A,A,5,5,FP2学科過去問に5回出現
火災保険,リスク管理,建物・家財の火災・風災・水害等による損害を補償する保険。地震は対象外。,A,A,11,6,FP2学科過去問に11回出現
地震保険,リスク管理,地震・噴火・津波による建物・家財の損害を補償する保険。火災保険に付帯して加入する。,A,A,5,15,FP2学科過去問に5回出現
自動車保険,リスク管理,自動車事故による損害を補償する保険。自賠責保険（強制）と任意保険がある。,A,A,4,2,FP2学科過去問に4回出現
自賠責保険,リスク管理,すべての自動車・バイクに加入が義務付けられた強制保険。対人賠償のみを補償する。,A,A,5,4,FP2学科過去問に5回出現
個人賠償責任保険,リスク管理,日常生活での他人への損害賠償責任を補償する保険。,A,B,0,3,FP3過去問に3回（FP2未出）
生命保険料控除,リスク管理,生命保険・介護医療保険・個人年金保険の保険料を所得控除できる制度。,A,A,10,7,FP2学科過去問に10回出現
地震保険料控除,リスク管理,地震保険料を所得控除できる制度。年間5万円を上限に全額控除。,A,B,0,2,FP3過去問に2回（FP2未出）
生命保険契約者保護機構,リスク管理,保険会社が破綻した際に契約者を保護する機関。責任準備金の90%まで補償。,A,B,0,2,FP3過去問に2回（FP2未出）
金融商品,金融資産運用,お金を運用・調達するための商品の総称。預金・債券・株式・投資信託などがある。,A,A,9,0,FP2学科過去問に9回出現
単利,金融資産運用,元本にのみ利息が付く計算方法。,A,B,2,2,FP2学科過去問に2回出現
複利,金融資産運用,元本に加え、すでに付いた利息にも利息が付く計算方法。長期運用で効果が大きい。,A,A,7,4,FP2学科過去問に7回出現
預金,金融資産運用,金融機関にお金を預ける金融商品。元本保証がある。,A,A,32,35,FP2学科過去問に32回出現
普通預金,金融資産運用,いつでも出し入れ可能な流動性の高い預金。金利は低い。,A,B,2,4,FP2学科過去問に2回出現
定期預金,金融資産運用,一定期間引き出せない代わりに普通預金より高い金利が得られる預金。,A,A,7,8,FP2学科過去問に7回出現
ペイオフ,金融資産運用,金融機関が破綻した際に預金保険機構が1金融機関につき元本1000万円まで（利子を含め1200万円まで）を保護する制度。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
預金保険制度,金融資産運用,金融機関の破綻時に預金者を保護する制度。決済用預金は全額保護。,A,A,6,7,FP2学科過去問に6回出現
債券,金融資産運用,国や企業が資金調達のために発行する借用証書。満期に額面金額が償還される。,A,A,11,3,FP2学科過去問に11回出現
国債,金融資産運用,国が発行する債券。個人向け国債は変動10年・固定5年・固定3年の3種類がある。,A,A,6,2,FP2学科過去問に6回出現
社債,金融資産運用,企業が発行する債券。国債より一般に利回りが高いがリスクも高い。,A,B,1,2,FP2学科過去問に1回出現
利回り,金融資産運用,投資元本に対する年間収益（利子＋売却損益）の割合。,A,A,7,10,FP2学科過去問に7回出現
表面利率（クーポンレート）,金融資産運用,債券の額面金額に対して毎年支払われる利率。,A,B,0,3,FP3過去問に3回（FP2未出）
残存期間,金融資産運用,債券の現時点から満期日までの残りの期間。,A,B,0,2,FP3過去問に2回（FP2未出）
債券価格と金利の関係,金融資産運用,市場金利が上昇すると既存債券の価格は下落し、金利が低下すると価格は上昇する逆相関の関係。,A,B,0,0,FP2学科範囲の中核語（シラバス）
株式,金融資産運用,企業が発行する出資証券。株主は配当・議決権・残余財産分配請求権を持つ。,A,A,52,27,FP2学科過去問に52回出現
配当,金融資産運用,企業が利益の一部を株主に分配すること。,A,A,26,17,FP2学科過去問に26回出現
株主優待,金融資産運用,企業が株主に対して自社製品・サービスなどを提供する制度。,C,C,0,0,過去問未出・優先度低
PER（株価収益率）,金融資産運用,株価を1株当たり純利益で割った指標。株価の割高・割安の判断に使う。,A,B,0,15,FP3過去問に15回（FP2未出）
PBR（株価純資産倍率）,金融資産運用,株価を1株当たり純資産で割った指標。1倍割れは解散価値を下回る状態。,A,B,0,13,FP3過去問に13回（FP2未出）
ROE（自己資本利益率）,金融資産運用,純利益を自己資本で割った指標。企業の収益性を示す。,A,B,0,5,FP3過去問に5回（FP2未出）
配当利回り,金融資産運用,1株当たり配当金を株価で割った指標。株式投資の利回りの目安。,A,B,1,5,FP2学科過去問に1回出現
投資信託,金融資産運用,多数の投資家から資金を集め、専門家が株式・債券等に分散投資する金融商品。,A,A,9,15,FP2学科過去問に9回出現
基準価額,金融資産運用,投資信託の1口（または1万口）当たりの純資産価値。毎営業日算出される。,A,B,0,5,FP3過去問に5回（FP2未出）
信託報酬,金融資産運用,投資信託の運用・管理に対して投資家が継続的に負担する費用。,A,B,1,2,FP2学科過去問に1回出現
アクティブ型投資信託,金融資産運用,市場平均（ベンチマーク）を上回ることを目標に運用する投資信託。,C,C,0,0,過去問未出・優先度低
インデックス型投資信託,金融資産運用,日経平均などの指数に連動することを目標とする投資信託。コストが低い。,C,C,0,0,過去問未出・優先度低
ETF（上場投資信託）,金融資産運用,証券取引所に上場し株式と同様に売買できる投資信託。,A,B,1,0,FP2学科過去問に1回出現
NISA（少額投資非課税制度）,金融資産運用,一定額までの投資から得た利益・配当が非課税になる制度。成長投資枠と積立投資枠の2種類がある。,A,B,1,4,FP2学科過去問に1回出現
新NISA,金融資産運用,2024年から始まった恒久化されたNISA制度。年間360万円・生涯1800万円まで非課税枠がある。,A,B,0,0,FP2学科範囲の中核語（シラバス）
外貨預金,金融資産運用,外国通貨で預け入れる預金。為替変動リスクがあり、預金保険の対象外。,A,B,2,0,FP2学科過去問に2回出現
為替レート,金融資産運用,異なる通貨を交換する際の比率（レート）。,A,A,4,0,FP2学科過去問に4回出現
円高・円安,金融資産運用,円の価値が外貨に対して上がることを円高、下がることを円安という。,C,C,0,0,過去問未出・優先度低
為替差益・為替差損,金融資産運用,外貨建て資産の円換算額が為替変動で増減すること。,C,C,0,0,過去問未出・優先度低
ポートフォリオ,金融資産運用,複数の資産を組み合わせた投資の全体構成。分散投資によりリスクを低減する。,A,A,3,7,FP2学科過去問に3回出現
分散投資,金融資産運用,複数の資産・地域・時間に分けて投資することでリスクを軽減する方法。,A,B,0,2,FP2学科範囲の中核語（シラバス）; FP3過去問に2回
ドルコスト平均法,金融資産運用,一定金額を定期的に購入し続けることで、平均取得単価を抑える投資方法。,A,B,0,2,FP3過去問に2回（FP2未出）
リスクとリターン,金融資産運用,投資においてリスク（不確実性）が高いほど期待リターンも高くなる関係。,C,C,0,0,過去問未出・優先度低
流動性リスク,金融資産運用,必要なときに資産を換金できないリスク。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
信用リスク,金融資産運用,債券の発行体や預金先金融機関が破綻し、元本・利息が回収できなくなるリスク。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
金融商品取引法,金融資産運用,有価証券・デリバティブ等の取引を規制し投資家を保護する法律。,A,B,1,0,FP2学科過去問に1回出現
消費者契約法（金融適用）,金融資産運用,不当な勧誘や不当条項の契約を取り消せる消費者保護法。金融商品の勧誘にも適用される。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
所得税,タックスプランニング,個人の所得に対して課される国税。1月1日から12月31日の暦年単位で課税される。,A,A,39,40,FP2学科過去問に39回出現
課税所得,タックスプランニング,各種控除を差し引いた後の、実際に税率を掛ける対象となる所得額。,B,B,0,1,FP3過去問に1回（FP2未出）
累進課税,タックスプランニング,所得が高くなるほど税率が高くなる課税方式。所得税・相続税で採用。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
源泉徴収,タックスプランニング,給与・利子・配当などの支払い時に、支払者が税金をあらかじめ差し引いて国に納付する制度。,A,A,9,0,FP2学科過去問に9回出現
年末調整,タックスプランニング,給与所得者について、1年間の所得税を会社が精算する手続き。多くの場合、確定申告は不要になる。,A,A,5,3,FP2学科過去問に5回出現
確定申告,タックスプランニング,1月1日から12月31日の所得と税額を翌年2月16日〜3月15日に税務署に申告する手続き。,A,A,12,6,FP2学科過去問に12回出現
給与所得,タックスプランニング,会社員が勤務先から受け取る給与・賞与に関する所得。給与収入から給与所得控除を差し引いて求める。,A,A,9,10,FP2学科過去問に9回出現
給与所得控除,タックスプランニング,給与所得者に認められる概算経費控除。収入額に応じた金額が控除される。,B,B,0,1,FP3過去問に1回（FP2未出）
事業所得,タックスプランニング,個人が営む事業から生じる所得。収入から必要経費を差し引いて求める。,A,A,5,7,FP2学科過去問に5回出現
不動産所得,タックスプランニング,土地・建物の貸付から生じる所得。収入から必要経費を差し引いて求める。,A,A,6,7,FP2学科過去問に6回出現
配当所得,タックスプランニング,株式等の配当から生じる所得。申告分離課税・総合課税・申告不要を選択できる場合がある。,A,A,10,0,FP2学科過去問に10回出現
利子所得,タックスプランニング,預金・債券の利子から生じる所得。原則として20.315%が源泉分離課税される。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
一時所得,タックスプランニング,懸賞・生命保険の満期金など、偶発的・一時的な所得。総収入から費用と50万円の特別控除を差し引く。,A,A,8,7,FP2学科過去問に8回出現
雑所得,タックスプランニング,他の所得区分に該当しない所得。公的年金・副業収入などが該当する。,A,B,1,3,FP2学科過去問に1回出現
退職所得,タックスプランニング,退職金・確定拠出年金の一時受取などから生じる所得。退職所得控除があり税負担が軽い。,A,B,1,6,FP2学科過去問に1回出現
山林所得,タックスプランニング,山林の伐採・譲渡から生じる所得。5分5乗方式で計算する。,A,B,0,3,FP3過去問に3回（FP2未出）
譲渡所得,タックスプランニング,土地・建物・株式等の資産の譲渡から生じる所得。保有期間によって税率が異なる。,A,A,10,15,FP2学科過去問に10回出現
所得控除,タックスプランニング,所得税を計算する際に課税所得から差し引ける控除。基礎控除・配偶者控除・扶養控除など14種類ある。,A,B,1,8,FP2学科過去問に1回出現
基礎控除,タックスプランニング,すべての納税者に認められる控除。合計所得金額2400万円以下なら48万円、以降段階的に減少する。,A,A,9,12,FP2学科過去問に9回出現
配偶者控除,タックスプランニング,合計所得金額48万円以下の配偶者がいる場合に受けられる控除。,A,B,2,3,FP2学科過去問に2回出現
扶養控除,タックスプランニング,扶養している親族（16歳以上）がいる場合に受けられる控除。,A,B,0,7,FP3過去問に7回（FP2未出）
社会保険料控除,タックスプランニング,支払った社会保険料の全額を所得から控除できる制度。,A,B,0,4,FP3過去問に4回（FP2未出）
小規模企業共済等掛金控除,タックスプランニング,iDeCoの掛金や小規模企業共済の掛金を全額控除できる制度。,A,B,1,4,FP2学科過去問に1回出現
医療費控除,タックスプランニング,年間の医療費が10万円（または合計所得の5%）を超えた場合に、超過分を控除できる制度。,A,A,7,4,FP2学科過去問に7回出現
セルフメディケーション税制,タックスプランニング,特定の市販薬購入費が年間1.2万円を超えた場合に、超過分を控除できる特例（医療費控除の特例）。,B,B,0,1,FP3過去問に1回（FP2未出）
寄附金控除,タックスプランニング,ふるさと納税などの寄附金を一定額まで所得控除または税額控除できる制度。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
住宅借入金等特別控除（住宅ローン控除）,タックスプランニング,住宅ローン年末残高の一定割合を所得税から直接差し引ける税額控除。,A,B,1,6,FP2学科過去問に1回出現
税額控除,タックスプランニング,課税所得に税率を掛けた後の税額から直接差し引く控除。所得控除より節税効果が大きい。,B,B,0,1,FP3過去問に1回（FP2未出）
青色申告,タックスプランニング,複式簿記などの記帳を行う代わりに最大65万円の青色申告特別控除などの特典が得られる申告方式。,A,A,11,13,FP2学科過去問に11回出現
白色申告,タックスプランニング,簡易な記帳でよい代わりに青色申告の特典が受けられない申告方式。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
損益通算,タックスプランニング,不動産所得・事業所得・山林所得・譲渡所得の損失を他の所得と相殺できる制度。,A,A,9,5,FP2学科過去問に9回出現
繰越控除,タックスプランニング,その年に控除しきれなかった損失を翌年以降に繰り越して控除できる制度。,A,B,0,0,FP2学科範囲の中核語（シラバス）
住民税,タックスプランニング,都道府県民税と市区町村民税の合計。前年の所得に基づき課税される地方税。,A,B,2,5,FP2学科過去問に2回出現
個人事業税,タックスプランニング,一定の事業を営む個人に課される地方税。業種ごとに税率が異なる。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
消費税,タックスプランニング,商品・サービスの消費に対して課される間接税。現在の標準税率は10%（軽減税率8%）。,A,A,10,0,FP2学科過去問に10回出現
法人税,タックスプランニング,法人の所得に対して課される国税。個人の所得税に相当する。,A,A,9,0,FP2学科過去問に9回出現
インボイス制度,タックスプランニング,消費税の仕入税額控除に適格請求書（インボイス）の保存を要件とする制度。,A,B,0,0,FP2学科範囲の中核語（シラバス）
不動産,不動産,土地および建物（定着物）の総称。民法では不動産以外を動産と定義する。,A,A,35,18,FP2学科過去問に35回出現
登記,不動産,不動産の所有権・抵当権などの権利関係を法務局の登記簿に記録し、公示する制度。,A,A,12,10,FP2学科過去問に12回出現
登記簿謄本（登記事項証明書）,不動産,不動産の表題部・権利部（甲区・乙区）の情報を記録した公的書類。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
表題部,不動産,登記簿の中で、土地・建物の物理的な状況（所在・面積等）を示す部分。,B,B,0,1,FP3過去問に1回（FP2未出）
権利部（甲区）,不動産,登記簿の中で、所有権に関する情報を記録した部分。,A,B,1,2,FP2学科過去問に1回出現
権利部（乙区）,不動産,登記簿の中で、抵当権・地役権などの所有権以外の権利を記録した部分。,A,B,1,2,FP2学科過去問に1回出現
不動産鑑定評価,不動産,不動産の経済価値を専門家（不動産鑑定士）が判定すること。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
公示地価,不動産,国土交通省が毎年1月1日時点の標準地の価格を公示したもの。一般の取引の指標となる。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
固定資産税評価額,不動産,市区町村が固定資産税算定のために評価した価格。公示地価の約70%が目安。,A,B,2,5,FP2学科過去問に2回出現
相続税評価額（路線価）,不動産,相続税・贈与税の計算に使う土地の評価額。国税庁が毎年7月に公表する。公示地価の約80%が目安。,A,B,2,10,FP2学科過去問に2回出現
建築基準法,不動産,建物の敷地・構造・設備・用途に関する最低基準を定めた法律。,A,A,3,4,FP2学科過去問に3回出現
都市計画法,不動産,都市の健全な発展のために土地利用・開発を規制する法律。,A,B,2,0,FP2学科過去問に2回出現
用途地域,不動産,都市計画法に基づき、土地の用途を規制するために指定された地域。住居系・商業系・工業系に大別される。,A,B,2,0,FP2学科過去問に2回出現
建ぺい率,不動産,敷地面積に対する建築面積（1階の水平投影面積）の割合。用途地域ごとに上限が定められている。,A,B,2,7,FP2学科過去問に2回出現
容積率,不動産,敷地面積に対する延べ床面積の割合。用途地域ごとに上限が定められている。,A,A,7,7,FP2学科過去問に7回出現
セットバック,不動産,幅員4m未満の道路（2項道路）に面する土地で、道路中心線から2m後退すること。,A,B,1,2,FP2学科過去問に1回出現
接道義務,不動産,建築基準法上、建物を建てるには幅員4m以上の道路に2m以上接していなければならないという規定。,B,B,0,1,FP3過去問に1回（FP2未出）
日影規制,不動産,隣接する建物への日当たりを確保するために、一定の高さ以上の建物の影の範囲を制限する規制。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
媒介契約,不動産,売主または買主が不動産会社に売買・賃貸の仲介を依頼する契約。専属専任・専任・一般の3種類がある。,A,A,4,9,FP2学科過去問に4回出現
宅地建物取引業法（宅建業法）,不動産,不動産取引を規制し消費者を保護する法律。宅建士による重要事項説明を義務付けている。,A,B,1,2,FP2学科過去問に1回出現
重要事項説明,不動産,不動産売買・賃貸契約前に宅建士が買主・借主に物件・契約内容を説明する義務。,A,B,0,0,FP2学科範囲の中核語（シラバス）
手付金,不動産,不動産売買契約時に買主が売主に支払う金銭。売主は倍返し、買主は放棄で解約できる。,A,B,0,3,FP3過去問に3回（FP2未出）
抵当権,不動産,住宅ローンなどの担保として不動産に設定される権利。返済不能時に競売で回収できる。,A,A,6,3,FP2学科過去問に6回出現
固定資産税,不動産,毎年1月1日時点の土地・建物の所有者に課される地方税。税率は原則1.4%。,A,B,2,5,FP2学科過去問に2回出現
都市計画税,不動産,市街化区域内の土地・建物に課される地方税。税率は原則0.3%が上限。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
不動産取得税,不動産,土地・建物を取得した際に一度だけ課される地方税。,A,A,6,0,FP2学科過去問に6回出現
印紙税,不動産,契約書・領収書などの課税文書に課される国税。収入印紙を貼付して納付する。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
登録免許税,不動産,不動産の登記・登録の際に課される国税。,A,A,6,0,FP2学科過去問に6回出現
譲渡所得（不動産）,不動産,不動産の売却益。所有期間5年超（長期）か5年以下（短期）かで税率が異なる。,A,A,10,15,FP2学科過去問に10回出現
"3,000万円特別控除",不動産,居住用財産の譲渡所得について、3000万円まで特別控除できる制度。,A,A,3,3,FP2学科過去問に3回出現
